original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
132,SRA-B,2,0.4222,0.2596,278,23,1.810,95.0
67,SRA-B,2,0.2322,0.3950,2607,942,6.126,17.5
211,SRA-B,2,0.2951,0.4679,2920,609,5.454,14.9
108,SRA-B,2,0.1301,0.3813,3322,10,0.132,99.7
60,SRA-B,2,0.1295,0.2830,5219,1299,6.430,9.8
155,SRA-B,2,0.2350,0.3077,3234,1423,6.856,6.5
172,SRA-B,2,0.4061,0.2924,2691,40,1.860,98.9
22,SRA-B,2,0.0708,0.3599,1556,539,5.488,40.0
68,SRA-B,2,0.0757,0.3225,1094,46,1.739,96.9
61,SRA-B,2,0.2971,0.3180,2876,1332,6.823,8.8
131,SRA-B,2,0.2230,0.3285,2488,76,2.108,97.5
252,SRA-B,2,0.0911,0.3800,2395,66,2.376,98.5
219,SRA-B,2,0.0992,0.3869,3421,1200,6.582,7.5
74,SRA-B,2,0.1033,0.3820,2720,47,1.139,99.1
70,SRA-B,2,0.1990,0.2796,2219,814,6.296,10.7
123,SRA-B,2,0.2001,0.3760,1836,46,2.216,98.6
136,SRA-B,2,0.3252,0.2836,2354,702,5.878,15.4
147,SRA-B,2,0.0542,0.3203,3660,859,6.068,16.9
24,SRA-B,2,0.2747,0.3095,3487,1340,6.637,8.9
187,SRA-B,2,0.1450,0.3719,3918,33,1.357,99.6
98,SRA-B,2,0.2974,0.2911,2845,75,2.513,98.7
35,SRA-B,2,0.2602,0.3283,2062,860,6.237,18.8
222,SRA-B,2,0.1110,0.3248,1946,30,0.415,98.9
42,SRA-B,2,0.0905,0.3401,987,21,0.738,99.1
153,SRA-B,2,0.1760,0.4058,3188,20,0.305,99.6
38,SRA-B,2,0.0852,0.3384,3170,563,5.663,11.0
244,SRA-B,2,0.1491,0.3155,1043,158,4.055,78.0
17,SRA-B,2,0.3674,0.3443,137,6,0.438,97.8
0,SRA-B,2,0.1062,0.4005,1863,688,6.014,22.7
15,SRA-B,2,0.2193,0.2901,3556,557,5.504,15.1
133,SRA-B,2,0.3276,0.3458,2401,32,1.306,99.5
101,SRA-B,2,0.4550,0.2643,4090,26,0.784,99.6
154,SRA-B,2,0.2858,0.3091,3662,10,0.060,99.8
92,SRA-B,2,0.2883,0.5422,1398,195,4.209,75.5
250,SRA-B,2,0.4865,0.2499,4680,17,0.670,99.7
180,SRA-B,2,0.2603,0.4183,2748,799,6.078,14.8
201,SRA-B,2,0.1461,0.3079,4157,857,5.997,11.8
166,SRA-B,2,0.2285,0.3606,2490,12,0.532,99.7
159,SRA-B,2,0.0731,0.3443,3613,1024,6.143,17.2
65,SRA-B,2,0.4123,0.2900,2599,255,4.129,64.3
141,SRA-B,2,0.1526,0.4108,2549,36,0.882,99.3
55,SRA-B,2,0.0804,0.3174,3377,1228,6.599,7.7
46,SRA-B,2,0.2906,0.2991,3464,343,4.022,68.9
197,SRA-B,2,0.1255,0.4039,862,74,2.581,93.5
200,SRA-B,2,0.6475,0.2257,1026,28,1.087,97.7
194,SRA-B,2,0.2559,0.2970,2477,72,3.143,98.9
62,SRA-B,2,0.1145,0.3886,3022,821,6.029,11.8
205,SRA-B,2,0.5336,0.2431,127,11,1.138,93.7
192,SRA-B,2,0.0561,0.3206,1451,122,3.211,93.8
6,SRA-B,2,0.1857,0.4015,2037,515,5.428,17.8
234,SRA-B,2,0.3044,0.3355,39374,25,0.207,100.0
117,SRA-B,2,0.1025,0.3217,4189,1294,6.566,6.5
33,SRA-B,2,0.2985,0.2867,2185,650,5.585,31.9
114,SRA-B,2,0.2750,0.4014,4031,1025,6.176,10.2
34,SRA-B,2,0.1398,0.4200,3245,54,1.344,98.8
247,SRA-B,2,0.2516,0.2826,1826,39,1.673,98.7
137,SRA-B,2,0.1289,0.3959,2935,38,0.992,99.1
169,SRA-B,2,0.1579,0.2994,2070,75,1.488,96.6
