original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
93,SRA-B,0,0.0787,0.3535,1019,96,3.124,92.0
88,SRA-B,0,0.1547,0.3446,6172,681,5.658,14.7
231,SRA-B,0,0.2245,0.3148,10773,1300,6.318,5.1
20,SRA-B,0,0.3052,0.4135,152,33,2.311,83.6
167,SRA-B,0,0.4109,0.2573,509,257,5.200,49.1
121,SRA-B,0,0.0707,0.3455,299,57,2.889,84.9
2,SRA-B,0,0.0595,0.3619,1675,99,3.188,95.8
178,SRA-B,0,0.0614,0.4130,219,26,1.279,90.4
30,SRA-B,0,0.0991,0.3764,906,89,3.127,93.9
195,SRA-B,0,0.1101,0.3812,785,98,3.644,91.0
184,SRA-B,0,0.3186,0.4447,53,7,0.556,88.7
21,SRA-B,0,0.5819,0.2389,11525,3653,7.566,2.3
134,SRA-B,0,0.3086,0.4496,95,6,0.522,93.7
135,SRA-B,0,0.1545,0.4089,383,53,2.462,86.9
182,SRA-B,0,0.3143,0.2834,4631,1131,6.439,8.0
104,SRA-B,0,0.2068,0.4240,5744,184,4.013,49.7
116,SRA-B,0,0.3582,0.3719,48083,168,0.361,0.9
234,SRA-B,0,0.1731,0.3698,3399,437,5.228,10.1
192,SRA-B,0,0.2799,0.4353,2,2,0.693,100.0
81,SRA-B,0,0.1698,0.4000,2484,122,3.507,92.8
68,SRA-B,0,0.2497,0.4148,252,15,1.619,96.0
46,SRA-B,0,0.3408,0.3903,3271,938,6.216,15.4
71,SRA-B,0,0.2669,0.4615,2580,18,0.165,99.5
246,SRA-B,0,0.3370,0.4328,870,11,0.150,98.9
207,SRA-B,0,0.3257,0.4690,2860,17,1.082,99.6
119,SRA-B,0,0.2099,0.3097,9061,2277,6.989,3.8
217,SRA-B,0,0.1305,0.4041,4154,25,1.396,99.7
59,SRA-B,0,0.2602,0.3834,581,21,0.478,96.9
226,SRA-B,0,0.4019,0.3049,3520,1114,6.307,7.7
72,SRA-B,0,0.4303,0.3890,3425,1104,6.303,10.9
19,SRA-B,0,0.1048,0.3247,2343,237,4.488,53.9
115,SRA-B,0,0.3057,0.3263,5200,1453,6.697,6.0
150,SRA-B,0,0.1049,0.3706,2360,432,5.178,31.3
162,SRA-B,0,0.3710,0.4607,3163,20,0.260,99.6
185,SRA-B,0,0.2803,0.4206,3,2,0.637,100.0
101,SRA-B,0,0.2867,0.4241,10,7,1.834,30.0
252,SRA-B,0,0.2335,0.3424,4269,865,6.066,13.4
124,SRA-B,0,0.3040,0.4798,2716,40,2.110,99.3
221,SRA-B,0,0.3323,0.4562,912,19,0.360,98.1
27,SRA-B,0,0.3811,0.2490,2380,925,6.399,8.9
80,SRA-B,0,0.2239,0.4040,86,1,-0.000,100.0
52,SRA-B,0,0.1785,0.3333,4337,865,6.050,11.8
86,SRA-B,0,0.1660,0.4376,1538,24,0.468,98.8
87,SRA-B,0,0.2512,0.4236,529,12,0.255,98.1
40,SRA-B,0,0.3335,0.4417,124,15,0.902,88.7
169,SRA-B,0,0.1974,0.3937,354,19,1.173,96.9
155,SRA-B,0,0.3101,0.4375,2963,18,0.106,99.5
153,SRA-B,0,0.0684,0.3220,357,45,2.674,90.8
17,SRA-B,0,0.1341,0.3802,192,35,1.691,83.3
74,SRA-B,0,0.2704,0.3027,3101,1313,6.790,8.9
255,SRA-B,0,0.2587,0.4151,901,21,0.280,97.9
110,SRA-B,0,0.1093,0.4170,2214,49,2.595,98.7
8,SRA-B,0,0.1877,0.3993,25,10,1.539,60.0
122,SRA-B,0,0.2523,0.4372,3816,12,0.091,99.8
33,SRA-B,0,0.2549,0.4332,64,20,2.082,67.2
84,SRA-B,0,0.3750,0.4478,3900,8,0.025,99.8
141,SRA-B,0,0.4936,0.3651,3327,822,5.995,17.0
171,SRA-B,0,0.3061,0.4217,5,3,1.055,100.0
48,SRA-B,0,0.3621,0.4540,6968,2,0.065,100.0
157,SRA-B,0,0.2242,0.3910,144,11,0.644,94.4
53,SRA-B,0,0.3583,0.4836,3059,15,0.085,99.6
15,SRA-B,0,0.2756,0.2919,5395,1371,6.588,8.1
16,SRA-B,0,0.2636,0.4176,154,20,1.859,89.6
170,SRA-B,0,0.2006,0.3015,6464,977,5.897,13.7
216,SRA-B,0,0.0505,0.3788,274,42,2.313,86.5
41,SRA-B,0,0.1301,0.3861,201,17,0.616,91.0
200,SRA-B,0,0.3757,0.2992,1594,555,5.772,24.8
95,SRA-B,0,0.0909,0.3790,65803,244,1.067,89.9
230,SRA-B,0,0.1581,0.3766,310,24,1.275,92.6
43,SRA-B,0,0.2337,0.4075,1102,10,0.146,99.2
0,SRA-B,0,0.1298,0.3794,754,27,0.542,96.7
245,SRA-B,0,0.2569,0.4162,20,5,0.778,80.0
136,SRA-B,0,0.2708,0.4262,3078,7,0.464,99.8
236,SRA-B,0,0.0734,0.3656,288,33,1.929,91.7
129,SRA-B,0,0.2461,0.4458,8,4,1.074,62.5
229,SRA-B,0,0.3036,0.4295,1289,12,0.150,99.1
57,SRA-B,0,0.4203,0.3743,5753,1595,6.647,5.9
181,SRA-B,0,0.1823,0.3342,60778,531,0.742,93.8
220,SRA-B,0,0.1785,0.4062,100,16,2.049,89.0
194,SRA-B,0,0.0976,0.3627,316,53,3.242,90.8
163,SRA-B,0,0.0579,0.3422,536,64,2.887,91.6
66,SRA-B,0,0.2710,0.3567,10507,768,5.216,7.7
61,SRA-B,0,0.0561,0.3367,603,85,3.287,89.1
227,SRA-B,0,0.3781,0.3692,6986,1908,6.930,4.8
