original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
135,StdMoE-B,2,0.1955,0.4033,1453,230,4.337,52.2
67,StdMoE-B,2,0.1159,0.4100,2700,218,3.618,82.7
214,StdMoE-B,2,0.0882,0.3499,1998,38,1.039,98.4
104,StdMoE-B,2,0.2247,0.3286,2261,122,2.959,87.6
54,StdMoE-B,2,0.1093,0.2944,2693,679,4.340,13.3
153,StdMoE-B,2,0.1516,0.4169,4210,1170,6.471,8.1
180,StdMoE-B,2,0.2853,0.3684,983,59,2.906,96.4
22,StdMoE-B,2,0.0664,0.3343,2787,1004,6.352,15.7
69,StdMoE-B,2,0.0578,0.3610,851,18,0.909,99.3
56,StdMoE-B,2,0.2465,0.4001,3328,968,6.140,9.6
132,StdMoE-B,2,0.2072,0.3978,3319,679,5.716,17.0
254,StdMoE-B,2,0.1825,0.4106,2041,814,6.150,15.5
225,StdMoE-B,2,0.1393,0.4201,3344,730,5.482,17.0
74,StdMoE-B,2,0.0780,0.3444,2118,21,0.191,99.1
71,StdMoE-B,2,0.2061,0.3406,1657,97,2.676,95.7
124,StdMoE-B,2,0.1593,0.2849,2389,1279,6.752,11.1
142,StdMoE-B,2,0.1182,0.3614,1259,35,1.100,98.2
148,StdMoE-B,2,0.0979,0.3198,3330,1068,6.412,11.3
25,StdMoE-B,2,0.1219,0.3999,2115,102,2.946,96.9
184,StdMoE-B,2,0.2814,0.4547,2235,1055,6.572,12.5
96,StdMoE-B,2,0.0937,0.3531,1785,407,5.338,26.3
38,StdMoE-B,2,0.3046,0.4473,2719,1223,6.708,10.2
226,StdMoE-B,2,0.2310,0.3962,8882,81,1.016,99.3
41,StdMoE-B,2,0.2575,0.4312,2362,1103,6.613,10.5
149,StdMoE-B,2,0.1235,0.3725,2352,30,0.857,99.1
39,StdMoE-B,2,0.3353,0.3170,3748,29,1.055,99.5
245,StdMoE-B,2,0.1740,0.3268,3039,610,5.308,18.7
18,StdMoE-B,2,0.0859,0.3380,3042,832,5.978,13.8
0,StdMoE-B,2,0.2093,0.2938,1907,784,6.106,14.6
14,StdMoE-B,2,0.2721,0.3177,1161,588,6.026,18.5
137,StdMoE-B,2,0.3167,0.4383,3166,950,6.232,11.9
99,StdMoE-B,2,0.1574,0.3956,5274,97,2.694,98.8
151,StdMoE-B,2,0.3039,0.3698,1818,354,5.105,32.6
86,StdMoE-B,2,0.1226,0.3950,3495,25,0.463,99.4
251,StdMoE-B,2,0.1140,0.3079,2129,444,5.183,45.6
181,StdMoE-B,2,0.2315,0.4560,3326,1120,6.350,12.7
199,StdMoE-B,2,0.3019,0.4568,3020,1208,6.640,9.2
166,StdMoE-B,2,0.1880,0.4060,2795,26,0.328,99.3
155,StdMoE-B,2,0.1391,0.3480,2750,1491,7.030,7.6
63,StdMoE-B,2,0.1236,0.3756,3169,233,3.356,77.8
144,StdMoE-B,2,0.0886,0.3264,2037,15,0.295,99.6
49,StdMoE-B,2,0.1843,0.4149,2711,23,0.580,99.4
45,StdMoE-B,2,0.2961,0.2980,1179,19,0.741,98.8
196,StdMoE-B,2,0.1506,0.3857,2836,399,4.345,29.2
198,StdMoE-B,2,0.1669,0.3385,3980,239,3.607,41.8
188,StdMoE-B,2,0.0665,0.3321,1413,220,4.465,53.4
59,StdMoE-B,2,0.0893,0.3278,1651,702,6.003,22.2
200,StdMoE-B,2,0.2885,0.3824,1237,109,2.227,91.4
185,StdMoE-B,2,0.1266,0.3239,3193,1001,6.316,11.6
4,StdMoE-B,2,0.1695,0.4136,3083,283,4.190,36.3
229,StdMoE-B,2,0.1667,0.4428,3123,608,5.138,14.4
115,StdMoE-B,2,0.2550,0.4191,2608,1110,6.585,12.1
33,StdMoE-B,2,0.1025,0.3677,3378,87,2.219,98.0
108,StdMoE-B,2,0.1826,0.3376,2783,886,6.110,15.2
35,StdMoE-B,2,0.1266,0.3933,1317,128,3.537,89.1
249,StdMoE-B,2,0.3232,0.2608,1940,424,5.297,26.2
143,StdMoE-B,2,0.1203,0.4067,1966,28,0.349,99.0
173,StdMoE-B,2,0.1288,0.3831,3133,880,6.154,14.4
146,StdMoE-B,2,0.2421,0.3828,57066,163,0.203,99.7
66,StdMoE-B,2,0.2401,0.4188,3702,887,5.955,10.5
15,StdMoE-B,2,0.1521,0.3829,2868,897,6.218,11.0
50,StdMoE-B,2,0.1425,0.3781,13871,426,1.503,6.2
238,StdMoE-B,2,0.1359,0.3995,3240,65,2.248,98.8
12,StdMoE-B,2,0.2610,0.3006,1185,287,5.043,29.5
231,StdMoE-B,2,0.4660,0.2663,3640,12,0.649,99.8
30,StdMoE-B,2,0.2651,0.4190,2606,1035,6.405,11.2
87,StdMoE-B,2,0.1608,0.4293,1900,56,2.360,97.8
73,StdMoE-B,2,0.1224,0.3947,3085,20,0.387,99.5
221,StdMoE-B,2,0.2185,0.3941,1272,22,0.878,99.4
19,StdMoE-B,2,0.1113,0.3643,1888,77,3.287,97.6
215,StdMoE-B,2,0.3472,0.2263,1520,537,5.605,24.9
227,StdMoE-B,2,0.2437,0.4162,2561,740,5.914,20.3
217,StdMoE-B,2,0.2835,0.4242,2670,814,6.023,19.1
77,StdMoE-B,2,0.1383,0.4053,2485,9,0.138,99.8
98,StdMoE-B,2,0.1547,0.3584,2677,951,6.208,10.9
