original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
95,StdMoE-B,0,0.1787,0.4669,61840,146,0.697,98.0
94,StdMoE-B,0,0.2054,0.0000,3918,90,3.174,97.6
234,StdMoE-B,0,0.1508,0.3622,1436,31,0.884,98.5
20,StdMoE-B,0,0.3457,0.4436,7954,10,0.976,99.9
166,StdMoE-B,0,0.1164,0.3487,1419,56,2.041,96.8
122,StdMoE-B,0,0.3465,0.4453,4891,23,1.225,99.6
2,StdMoE-B,0,0.0384,0.3230,57,12,1.308,70.2
178,StdMoE-B,0,0.6859,0.2406,8515,3414,7.673,3.7
32,StdMoE-B,0,0.0497,0.4513,1207,25,0.459,98.3
203,StdMoE-B,0,0.1277,0.3899,2072,71,2.705,97.8
184,StdMoE-B,0,0.2819,0.2968,2814,734,5.965,10.3
21,StdMoE-B,0,0.1566,0.3992,42,9,1.748,88.1
136,StdMoE-B,0,0.4837,0.3784,4325,1345,6.624,7.4
137,StdMoE-B,0,0.2371,0.3815,3000,577,5.512,7.0
182,StdMoE-B,0,0.6931,0.2312,7174,3124,7.604,5.0
114,StdMoE-B,0,0.3062,0.4395,8,1,-0.000,100.0
118,StdMoE-B,0,0.3051,0.2731,2809,623,5.717,11.1
236,StdMoE-B,0,0.5261,0.1707,1943,152,3.164,79.6
198,StdMoE-B,0,0.0981,0.4217,139,12,0.594,89.2
83,StdMoE-B,0,0.1146,0.3549,2066,87,2.367,97.6
66,StdMoE-B,0,0.1041,0.3514,7999,248,4.307,16.3
49,StdMoE-B,0,0.1389,0.4222,6650,42,2.184,99.7
72,StdMoE-B,0,0.2516,0.4384,9298,24,1.268,99.9
246,StdMoE-B,0,0.1909,0.3877,273,23,1.668,93.4
208,StdMoE-B,0,0.2988,0.4257,10,3,0.898,90.0
119,StdMoE-B,0,0.3110,0.4325,18,5,1.440,83.3
216,StdMoE-B,0,0.1594,0.3403,6569,704,5.752,17.1
60,StdMoE-B,0,0.2377,0.5566,1662,92,3.094,96.6
222,StdMoE-B,0,0.1053,0.3710,9072,9,0.096,99.9
77,StdMoE-B,0,0.3565,0.4064,1771,457,5.584,15.1
18,StdMoE-B,0,0.2098,0.3947,148,14,1.346,93.2
117,StdMoE-B,0,0.2971,0.2854,1129,288,5.011,44.4
144,StdMoE-B,0,0.3270,0.2847,4562,945,6.107,13.5
153,StdMoE-B,0,0.0808,0.3881,1380,88,3.273,95.4
185,StdMoE-B,0,0.3031,0.4294,8,3,0.736,75.0
106,StdMoE-B,0,0.3886,0.2833,2499,960,6.385,11.0
252,StdMoE-B,0,0.2217,0.4145,255,16,1.245,96.1
125,StdMoE-B,0,0.3414,0.2982,905,224,4.812,51.8
220,StdMoE-B,0,0.5608,0.2631,5406,1852,6.951,7.5
25,StdMoE-B,0,0.3047,0.4398,24,4,0.732,79.2
81,StdMoE-B,0,0.2000,0.3551,2380,207,4.294,33.3
55,StdMoE-B,0,0.1980,0.4075,24,6,0.953,75.0
86,StdMoE-B,0,0.1125,0.3802,5351,249,4.528,19.0
87,StdMoE-B,0,0.0534,0.3410,196,25,2.165,91.8
41,StdMoE-B,0,0.1241,0.3885,106,12,1.567,92.5
168,StdMoE-B,0,0.2098,0.4003,1001,19,0.283,98.4
149,StdMoE-B,0,0.0863,0.3780,480,39,2.397,94.0
145,StdMoE-B,0,0.2331,0.3659,7152,284,4.019,23.6
17,StdMoE-B,0,0.2915,0.4063,5696,17,1.356,99.9
78,StdMoE-B,0,0.4544,0.3088,2600,813,6.082,10.7
254,StdMoE-B,0,0.2242,0.4326,300,12,0.653,96.0
115,StdMoE-B,0,0.2010,0.2925,5045,638,5.681,18.3
4,StdMoE-B,0,0.1066,0.3837,504,43,2.572,94.0
123,StdMoE-B,0,0.4368,0.2772,3229,1211,6.420,11.1
33,StdMoE-B,0,0.1184,0.3535,152,24,2.340,89.5
84,StdMoE-B,0,0.1891,0.3346,3038,217,4.652,43.4
140,StdMoE-B,0,0.3090,0.4321,2,2,0.693,100.0
170,StdMoE-B,0,0.1982,0.4018,8146,60,2.517,99.8
50,StdMoE-B,0,0.4651,0.4423,58893,765,0.539,0.8
151,StdMoE-B,0,0.3554,0.4631,1312,16,0.240,99.2
56,StdMoE-B,0,0.2671,0.4080,43,1,-0.000,100.0
13,StdMoE-B,0,0.3458,0.4435,725,20,0.397,97.9
14,StdMoE-B,0,0.2874,0.3438,3537,516,5.381,16.8
169,StdMoE-B,0,0.0852,0.4099,1703,83,3.120,96.7
214,StdMoE-B,0,0.1436,0.3301,7232,1028,5.297,17.3
42,StdMoE-B,0,0.0998,0.3719,91,15,1.643,85.7
205,StdMoE-B,0,0.0734,0.3653,729,65,2.651,93.4
102,StdMoE-B,0,0.1423,0.4460,242,17,1.149,94.6
229,StdMoE-B,0,0.2685,0.2504,90,28,2.863,77.8
46,StdMoE-B,0,0.3020,0.2911,2692,557,5.427,9.0
0,StdMoE-B,0,0.1046,0.2951,583,51,2.453,94.3
243,StdMoE-B,0,0.3123,0.3148,3313,755,5.350,10.9
138,StdMoE-B,0,0.8205,0.2285,1464,674,5.975,18.3
238,StdMoE-B,0,0.2586,0.4068,7092,29,1.269,99.8
130,StdMoE-B,0,0.1103,0.3738,59,12,1.841,86.4
224,StdMoE-B,0,0.4875,0.2334,3572,1069,6.412,7.4
59,StdMoE-B,0,0.4183,0.5815,3317,224,4.683,21.5
181,StdMoE-B,0,0.2518,0.3934,2189,45,0.749,97.9
219,StdMoE-B,0,0.0994,0.4538,709,16,1.068,98.6
200,StdMoE-B,0,0.2070,0.4025,2,2,0.693,100.0
155,StdMoE-B,0,0.3338,0.4526,1526,14,0.679,99.7
64,StdMoE-B,0,0.3678,0.3973,2197,557,5.389,39.5
61,StdMoE-B,0,0.0882,0.3066,188,16,2.013,94.7
223,StdMoE-B,0,0.1306,0.3284,512,111,3.691,82.6
247,StdMoE-B,0,0.0758,0.3037,97,25,2.212,73.2
10,StdMoE-B,0,0.3850,0.2447,1660,425,5.191,39.9
133,StdMoE-B,0,0.3076,0.3486,3024,517,5.614,21.1
191,StdMoE-B,0,0.4282,0.2571,4226,1209,6.575,7.2
24,StdMoE-B,0,0.1966,0.3987,4289,88,3.041,97.8
172,StdMoE-B,0,0.2785,0.4182,39,7,1.342,89.7
221,StdMoE-B,0,0.2693,0.4258,4,4,1.386,100.0
29,StdMoE-B,0,0.1959,0.3987,1342,12,0.338,99.5
