expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic
E000,2356,441,HMAS(6.52); Historian(6.52); Brother(6.52); Flight(6.52); USS(6.52); Judge(6.52); Rear(6.52); Marshal(6.52); Nathan(6.52); Captain(6.52); Mont(6.52); Sir(6.52); Van(6.52); Fort(6.52); Grand(6.52); Admiral(6.52); Operation(6.52); Mount(6.52); HMS(6.52); Lieutenant(6.52); Tropical(6.52); Mike(6.52); Colonel(6.52); Cape(6.52); Santa(6.52); Los(6.52); Bill(6.52); ′(6.52); ″(6.52); Mc(6.52); Mac(6.52); Port(6.52); General(6.46); Big(6.45); Vice(6.40); Hurricane(6.35); Dr(6.32); Major(6.32); Base(6.32); San(6.31); Task(6.27); Lake(6.27); °(6.27); Christopher(6.25); Stephen(6.19); Professor(6.19); Robert(6.19); Edward(6.19); Prince(6.19); CR(6.14),22.6,4.886,,,
E001,1494,812,Easy(7.17); Help(7.17); Name(7.17); Streets(7.17); Woman(7.17); oo(7.17); Up(7.17); 印(7.17); 書(7.17); 板(7.17); 正(7.17); 竹(7.17); 譜(7.17); outh(7.17); 十(7.17); မ(7.17); န(7.17); [UNK](7.17); ်(7.17); 齋(7.17); Exit(7.03); Come(6.98); Baby(6.85); Against(6.85); Off(6.80); Performance(6.76); ope(6.76); Age(6.76); Ji(6.76); Believe(6.76); Have(6.70); Back(6.62); Blues(6.59); Silver(6.36); Story(6.36); You(6.34); ll(6.17); Gold(6.17); Through(6.07); Time(6.06); Race(6.03); ry(5.96); sect(5.95); Mart(5.85); word(5.67); oted(5.59); ail(5.59); Day(5.34); Where(5.25); ong(5.10),23.4,6.253,,,
E002,1483,100,volcanic(5.96); Late(5.86); sub(4.98); The(4.89); southern(4.43); eastern(4.18); the(3.95); its(3.70); early(2.99); an(2.87); large(2.77); other(1.67); their(1.54); this(0.83); s(0.83); -(0.58); a(0.43); '(-1.17); of(-2.47); and(-2.70),93.7,1.550,,,
E003,1706,689,portrayed(6.98); survived(6.98); succeeds(6.98); Described(6.98); survive(6.98); serves(6.98); depicted(6.98); serving(6.98); adapted(6.98); manages(6.98); serve(6.86); calder(6.76); noting(6.72); served(6.69); continues(6.66); appearances(6.57); attributed(6.57); pts(6.57); appears(6.57); continue(6.47); scheduled(6.40); varied(6.24); well(6.24); escape(6.24); perceived(6.24); known(6.17); dates(6.17); returning(6.17); identified(6.13); such(6.13); starred(6.11); appear(6.07); heads(5.98); vocals(5.98); extensively(5.98); catches(5.98); suggested(5.98); needed(5.98); returned(5.98); intended(5.88); used(5.79); suffering(5.76); consists(5.76); attempts(5.72); described(5.70); continuing(5.66); return(5.66); figures(5.60); assigned(5.57); accepted(5.57),29.0,5.884,,,
E004,2872,1226,touchdowns(6.23); streak(6.23); demographic(6.23); circulation(6.23); riff(6.23); perspective(6.23); premise(6.23); tongue(6.23); touchdown(6.23); soundtrack(6.23); maneuver(6.23); sequence(5.94); independence(5.91); opener(5.91); gear(5.91); conquest(5.81); melody(5.81); Tournament(5.81); gunfire(5.81); commentary(5.81); affair(5.81); renumbering(5.81); colour(5.74); investigation(5.73); gameplay(5.64); chart(5.64); credit(5.64); bout(5.64); cameo(5.64); airfield(5.55); theme(5.55); victory(5.53); script(5.49); mobility(5.49); receiver(5.49); Treaty(5.49); comedy(5.49); effect(5.45); hair(5.42); storyline(5.42); conversion(5.42); goal(5.38); broadcast(5.38); debut(5.35); contest(5.35); invasion(5.34); plot(5.32); attack(5.28); draw(5.23); arrangement(5.23),10.5,6.586,,,
E005,2435,452,"pretty(6.47); everything(6.20); think(6.10); If(5.95); want(5.93); ...(5.91); something(5.79); really(5.79); Then(5.73); quite(5.73); What(5.73); ""...(5.73); till(5.73); know(5.69); And(5.66); sure(5.66); anything(5.62); love(5.47); guy(5.47); clearly(5.47); me(5.40); very(5.39); But(5.38); things(5.33); like(5.32); got(5.30); just(5.23); [...](5.15); look(5.05); say(5.05); ](5.01); see(4.94); you(4.92); going(4.88); how(4.88); thought(4.88); Be(4.88); bit(4.88); We(4.77); So(4.73); doing(4.59); fully(4.59); does(4.56); I(4.48); !(4.35); get(4.27); if(4.27); even(4.23); seems(4.15); do(4.10)",16.0,4.691,,,
E006,4451,348,explicitly(5.60); suddenly(5.60); rarely(5.60); occasionally(5.60); always(5.60); not(5.54); never(5.52); still(5.43); longer(5.43); neither(5.43); accidentally(5.33); specifically(5.33); currently(5.28); Un(5.28); Not(5.28); merely(5.28); openly(5.28); really(5.18); typically(5.18); partly(5.18); Originally(5.18); rather(5.16); Also(5.14); actually(5.01); briefly(5.01); mainly(4.96); apparently(4.92); sometimes(4.90); mis(4.86); ently(4.86); ically(4.79); publicly(4.79); often(4.78); generally(4.75); un(4.70); yet(4.60); usually(4.60); primarily(4.60); already(4.60); clearly(4.60); finally(4.48); mostly(4.47); fully(4.46); ever(4.40); none(4.37); perhaps(4.37); regularly(4.37); just(4.31); initially(4.24); frequently(4.18),15.9,2.447,,,
E007,2580,784,youngest(6.38); closest(6.38); apparent(6.38); potential(6.26); favourite(6.06); favorite(6.02); signature(5.97); enduring(5.97); earliest(5.97); fellow(5.97); collective(5.97); greatest(5.97); Such(5.90); expert(5.90); additional(5.90); One(5.88); this(5.83); alleged(5.80); multi(5.80); ranking(5.80); main(5.79); This(5.78); largest(5.73); true(5.65); numerous(5.65); fastest(5.65); dominant(5.65); initial(5.65); perceived(5.65); illegal(5.65); appropriate(5.65); total(5.63); particular(5.58); false(5.58); seventh(5.58); rare(5.58); highest(5.56); est(5.54); average(5.54); last(5.50); possible(5.49); every(5.45); fake(5.38); remnant(5.38); big(5.38); weak(5.38); azy(5.38); multiple(5.38); unique(5.38); notable(5.38),22.0,5.699,,,
E008,3184,350,comprising(6.08); Among(6.08); numbering(5.86); Of(5.82); wounding(5.67); amongst(5.67); plus(5.67); comprised(5.60); especially(5.50); destroying(5.50); least(5.30); damaging(5.27); capturing(5.23); except(5.08); leaving(4.94); particularly(4.86); Within(4.86); among(4.84); With(4.83); include(4.81); including(4.70); numbered(4.70); included(4.56); fired(4.42); destroyed(4.40); killing(4.40); contains(4.38); losing(4.34); onto(4.30); while(4.29); causing(4.27); damaged(4.21); carrying(4.08); with(3.99); ordered(3.98); includes(3.91); only(3.84); using(3.80); by(3.78); of(3.75); —(3.72); although(3.65); launched(3.58); sent(3.53); from(3.52); as(3.44); caused(3.42); despite(3.34); forced(3.27); replaced(3.27),57.4,3.695,,,
E009,1329,563,Mug(7.34); hierogly(7.34); camer(7.34); Yun(7.34); Lus(7.34); Kimber(7.34); Myc(7.34); Rag(7.34); Rox(7.34); Compos(7.34); Refle(7.34); Dynam(7.34); reserv(7.34); Jas(7.34); dyn(7.34); Sah(7.34); Aqu(7.34); Hes(7.34); ropol(7.34); Dry(7.34); pac(7.34); Butter(7.34); Cly(7.34); Cop(7.34); Hong(7.34); Mess(7.34); Hom(7.34); Nar(7.34); Mes(7.34); Hend(7.34); Hind(7.34); testim(7.34); Gran(7.34); Patri(7.34); Mam(7.34); Pul(7.34); Som(7.34); Sciento(7.34); Bour(7.34); Fre(7.34); Mel(7.34); vic(7.34); Mont(7.34); Mag(7.34); Mer(7.34); Bon(7.34); Sel(7.34); Bas(7.34); Ind(7.34); Lar(7.34),27.6,5.621,,,
E010,4115,1602,rigging(5.71); tongue(5.71); depot(5.71); cabin(5.71); garage(5.71); parking(5.71); exhibit(5.71); fortress(5.71); maneuver(5.71); harbor(5.71); cave(5.71); mat(5.71); lab(5.71); assembly(5.71); pit(5.71); shaft(5.71); apartment(5.71); chapel(5.71); decks(5.71); airfield(5.71); blade(5.71); cage(5.71); pits(5.71); hotel(5.71); salvage(5.71); ambulance(5.71); docks(5.71); upright(5.71); superstructure(5.71); warehouse(5.71); vault(5.71); shop(5.71); dust(5.71); Cemetery(5.71); entrance(5.71); battery(5.71); chair(5.71); village(5.60); beam(5.56); brake(5.54); tomb(5.50); lake(5.49); barrage(5.49); stair(5.49); flag(5.49); phone(5.49); harbour(5.49); mill(5.45); wreckage(5.45); jail(5.45),7.4,6.900,,,
E011,2916,17,In(6.12); in(5.92); into(3.48); both(2.42); during(0.66); at(0.38); on(-1.06); -(-1.10); of(-2.77),99.7,0.544,,,
E012,1432,65,"正(7.23); 竹(7.23); ‘(7.23); '(7.18); ’(7.15); 書(6.97); [UNK](5.89); ′(5.50); don(4.36); /(4.12); Route(3.51); ""(0.40); -(-0.49); s(-0.93)",95.9,0.763,,,
E013,2602,567,Cheng(6.37); Beers(6.37); Kak(6.37); Kaw(6.37); apar(6.37); Shir(6.37); Shin(6.37); Zh(6.37); Yu(6.37); Miy(6.37); Sho(6.37); Jab(6.37); Aw(6.37); Mut(6.37); Wat(6.37); chi(6.37); Cho(6.37); Mes(6.37); Tu(6.37); Kur(6.37); Chi(6.37); Tok(6.37); Mah(6.37); Ok(6.37); Bo(6.37); Gu(6.37); ny(6.37); Af(6.37); Jo(6.37); Je(6.37); Vi(6.37); Lu(6.37); Ru(6.37); Che(6.37); Chak(6.37); Tik(6.37); Sah(6.37); Ka(6.37); Ko(6.37); Tar(6.37); Tam(6.37); Pu(6.37); Si(6.37); Mu(6.37); Ak(6.37); Ta(6.37); Kw(6.37); Kam(6.37); Mik(6.37); Tul(6.37),15.9,5.532,,,
