expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic
E000,2175,1078,Experiment(6.63); lach(6.63); stel(6.63); camer(6.63); hierogly(6.63); Yun(6.63); Prosecut(6.63); metamorph(6.63); Javan(6.63); Churches(6.63); Administr(6.63); Eich(6.63); Pagan(6.63); Reconstruction(6.63); Kimber(6.63); skirm(6.63); Chino(6.63); Settle(6.63); Cors(6.63); bayon(6.63); sensu(6.63); Investig(6.63); discrimin(6.63); Citizen(6.63); Sudan(6.63); skyscrap(6.63); Compos(6.63); Bomber(6.63); nav(6.63); Hind(6.63); Solomon(6.63); Cav(6.63); ropol(6.63); Aqu(6.63); Mongol(6.63); glam(6.63); Ign(6.63); dyn(6.63); quo(6.63); reserv(6.63); infiltr(6.63); eyew(6.63); Dynam(6.63); Dall(6.63); subsid(6.63); haz(6.63); Pap(6.63); Sciento(6.63); conspir(6.63); Pil(6.63),15.8,6.514,,,
E001,1360,51,"nor(7.31); or(7.31); possibly(6.99); perhaps(6.82); even(6.07); sometimes(5.93); &(5.43); /(5.20); and(5.16); than(4.71); –(4.47); rather(4.37); if(3.37); but(3.27); not(3.03); un(2.50); then(1.92); -(1.76); to(1.63); as(1.48); '(-1.46); of(-1.67); .(-2.24); ,(-3.44)",97.5,1.617,,,
E002,3103,1293,outh(6.12); Peak(6.12); Siege(6.12); Challenge(6.12); blade(6.12); hound(6.12); Element(6.12); Period(6.12); Course(6.12); Ranch(6.12); Downtown(6.12); sprint(6.12); summit(6.12); Classic(6.12); Shop(6.12); Youth(6.12); Isle(6.12); Tournament(6.12); Disc(6.12); polis(6.12); Pod(6.12); Track(6.12); End(6.12); Gulf(6.12); ockey(6.12); umber(6.12); Jaguar(6.12); cassette(6.12); PPV(6.12); Pyramid(6.12); Dome(6.12); Floor(6.12); Desert(6.12); pounder(6.12); Canyon(6.12); Range(6.12); Parkway(6.12); Theater(6.12); neth(6.12); Performance(6.12); birthday(6.12); Building(6.12); Heavyweight(6.12); m2(6.12); Symphony(6.12); Night(6.12); Console(6.12); Bowl(6.12); horn(6.12); Valley(6.12),7.8,6.668,,,
E003,1179,251,negatively(7.51); intentionally(7.51); Almost(7.51); ologically(7.51); politically(7.51); critically(7.51); physically(7.51); steadily(7.51); equally(7.51); fairly(7.51); fewer(7.51); badly(7.51); pretty(7.51); increasingly(7.51); antly(7.51); strongly(7.51); extremely(7.51); ently(7.51); highly(7.51); relatively(7.51); heavily(7.51); newly(7.51); quite(7.51); closely(7.51); very(7.51); ually(7.51); too(7.51); more(7.50); Most(7.41); most(7.38); rather(7.31); similarly(7.25); slightly(7.23); less(7.22); ily(7.19); widely(7.19); considerably(7.10); pale(7.10); really(7.10); fully(7.05); More(7.03); ically(7.03); ably(6.93); ally(6.90); particularly(6.88); roughly(6.84); significantly(6.84); regularly(6.71); greatly(6.71); nearly(6.71),54.6,4.452,,,
E004,1815,308,apar(6.89); Downtown(6.89); Khmer(6.89); Northeast(6.89); Indo(6.89); Rag(6.89); Crystal(6.89); Native(6.89); Southeast(6.89); Ancient(6.89); Pine(6.89); Continental(6.89); Lower(6.89); Nova(6.89); southeastern(6.89); Historic(6.89); Upper(6.89); mainland(6.89); Cape(6.89); Mount(6.89); medieval(6.89); Santa(6.89); Hong(6.89); Latin(6.89); Southern(6.89); Middle(6.89); Northern(6.89); Eastern(6.89); West(6.89); North(6.89); Port(6.89); Western(6.89); Great(6.89); Grand(6.89); Los(6.89); Lake(6.89); Central(6.89); Fort(6.89); Old(6.89); San(6.89); South(6.89); New(6.85); downtown(6.84); colonial(6.81); rural(6.78); central(6.77); Atlantic(6.77); northern(6.75); Far(6.74); East(6.72),50.6,4.739,,,
E005,3180,959,Bryant(6.08); gan(6.08); yah(6.08); erner(6.08); akon(6.08); stein(6.08); ora(6.08); burg(6.08); gri(6.08); elli(6.08); awi(6.08); ey(6.08); ington(6.08); idan(6.08); anga(6.08); ente(6.08); Florence(6.08); feldt(6.08); wan(6.08); ji(6.08); ogo(6.08); bitt(6.08); onte(6.08); chalk(6.08); umo(6.08); ada(6.08); hl(6.08); dale(6.08); iner(6.08); berg(6.08); angelo(6.08); hara(6.08); Landing(6.08); lis(6.08); ahi(6.04); ta(5.93); Taylor(5.93); ford(5.92); aney(5.89); ille(5.89); aba(5.89); ham(5.86); ier(5.86); Marie(5.82); aga(5.82); imoto(5.82); akin(5.82); ala(5.82); ý(5.82); utt(5.82),11.7,6.211,,,
E006,2242,834,finishes(6.59); nominee(6.59); polls(6.59); ballot(6.59); Places(6.59); Tournament(6.59); nominations(6.59); Performance(6.59); Grammy(6.59); albums(6.59); Fame(6.59); charts(6.59); publications(6.59); Awards(6.59); Award(6.59); reviews(6.49); touchdowns(6.41); films(6.39); weekend(6.32); chart(6.32); singles(6.32); tackles(6.32); yards(6.30); championship(6.26); matches(6.25); races(6.17); award(6.17); titles(6.17); monument(6.17); receptions(6.17); sprint(6.17); composers(6.17); productions(6.17); lists(6.17); Tour(6.12); Year(6.10); Player(6.10); Week(6.10); games(6.09); interview(6.00); honour(6.00); season(6.00); stadium(5.85); shelters(5.85); actress(5.85); concerts(5.85); assists(5.85); opener(5.85); episodes(5.85); Theatre(5.85),16.5,6.134,,,
E007,1295,16,"’(7.38); ‘(7.38); '(7.29); You(5.38); /(2.39); ""(-0.59)",99.2,0.271,,,
E008,3277,475,Swiss(6.04); vast(6.04); tenth(6.04); 8th(6.04); Czech(6.04); Canadian(6.04); This(5.93); 5th(5.92); sixth(5.90); 15th(5.89); initial(5.89); fifth(5.87); actual(5.87); 1st(5.86); 2nd(5.86); British(5.82); grand(5.82); Special(5.82); another(5.81); 9th(5.80); 3rd(5.80); 29th(5.78); French(5.77); final(5.75); 16th(5.72); ican(5.72); Australian(5.72); massive(5.72); German(5.71); original(5.70); additional(5.69); 6th(5.65); 4th(5.62); pale(5.62); new(5.61); second(5.59); Royal(5.58); 17th(5.55); brief(5.55); American(5.55); Irish(5.55); Scottish(5.55); seventh(5.55); special(5.53); European(5.51); 7th(5.51); Dutch(5.45); Spanish(5.43); great(5.42); particular(5.40),33.4,4.919,,,
E009,52272,89,"[PAD](1.91); .)(1.78); ""[(0.82); .""(0.52); .(-0.10); ).(-0.20); :(-0.49); John(-0.58); mi(-0.92); /(-1.72); "".(-1.84); m(-2.51); ""(-4.00); ((-4.47); '(-4.51); ,(-5.85); of(-6.93); in(-7.53)",99.8,0.169,,,
