original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
190,SRA-B,3,0.2477,0.4044,16,15,2.686,100.0
88,SRA-B,3,0.4685,0.3303,3247,278,2.308,87.9
1,SRA-B,3,0.3164,0.3221,2706,149,1.899,95.3
153,SRA-B,3,0.1508,0.4051,3140,1422,6.848,6.8
122,SRA-B,3,0.1229,0.4109,2935,47,1.212,99.1
207,SRA-B,3,0.1249,0.3435,1022,448,5.314,48.5
247,SRA-B,3,0.2314,0.3753,517,164,3.822,70.0
13,SRA-B,3,0.1453,0.4208,3448,269,3.468,72.1
241,SRA-B,3,0.1399,0.3488,12,10,2.210,25.0
178,SRA-B,3,0.1760,0.3042,561,361,5.507,34.0
137,SRA-B,3,0.3584,0.3237,2978,1207,6.590,8.9
119,SRA-B,3,0.2787,0.3643,2250,695,5.517,20.3
149,SRA-B,3,0.0954,0.3079,4297,1815,6.977,5.1
222,SRA-B,3,0.1208,0.3677,2938,1235,6.602,9.0
31,SRA-B,3,0.4587,0.3592,2370,906,6.051,12.7
155,SRA-B,3,0.1484,0.2791,2920,750,5.954,11.2
58,SRA-B,3,0.3621,0.4026,2320,657,5.159,12.5
164,SRA-B,3,0.1354,0.3805,5200,1842,6.978,5.2
235,SRA-B,3,0.1322,0.3789,4257,1513,6.731,7.8
212,SRA-B,3,0.3191,0.3285,2804,405,4.768,29.8
32,SRA-B,3,0.0603,0.3469,9,2,0.530,77.8
225,SRA-B,3,0.0926,0.3361,5492,379,3.770,24.1
240,SRA-B,3,0.1638,0.3937,7862,2595,7.248,3.2
70,SRA-B,3,0.1126,0.3708,3296,487,4.467,12.8
229,SRA-B,3,0.1214,0.3537,7,7,1.946,100.0
213,SRA-B,3,0.2984,0.4357,2913,61,1.061,98.6
33,SRA-B,3,0.3344,0.2774,1741,105,1.567,94.2
249,SRA-B,3,0.1245,0.3391,3569,1376,6.723,5.9
60,SRA-B,3,0.1021,0.3731,3995,1473,6.707,9.3
21,SRA-B,3,0.1630,0.4272,2232,131,2.855,93.1
