original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
160,SRA-B,1,0.0991,0.4055,555,13,1.090,99.1
63,SRA-B,1,0.3556,0.3339,2301,747,6.030,19.0
134,SRA-B,1,0.3062,0.4285,5537,3,0.011,100.0
89,SRA-B,1,0.1025,0.3671,2631,34,0.716,98.9
60,SRA-B,1,0.0842,0.3616,991,31,1.502,97.5
56,SRA-B,1,0.0859,0.3415,360,40,2.492,92.5
177,SRA-B,1,0.2047,0.0000,2679,347,4.602,17.6
232,SRA-B,1,0.1441,0.3882,4970,63,2.942,99.6
43,SRA-B,1,0.1009,0.3190,3329,11,1.388,99.8
227,SRA-B,1,0.4358,0.2821,4256,1509,6.848,6.4
182,SRA-B,1,0.3348,0.4329,1952,300,4.645,45.6
1,SRA-B,1,0.2122,0.3520,1208,84,3.016,95.7
212,SRA-B,1,0.1307,0.3744,3896,456,3.573,69.1
230,SRA-B,1,0.2103,0.2681,2493,896,6.135,11.8
249,SRA-B,1,0.1965,0.4070,3354,9,0.200,99.9
79,SRA-B,1,0.4795,0.2744,2865,868,6.141,16.5
83,SRA-B,1,0.2173,0.3405,4329,1272,6.570,6.6
216,SRA-B,1,0.1733,0.4227,83,48,3.635,34.9
158,SRA-B,1,0.1975,0.3851,1433,8,0.110,99.5
211,SRA-B,1,0.1646,0.4531,5205,17,0.449,99.8
163,SRA-B,1,0.1120,0.3976,3045,6,0.027,99.9
72,SRA-B,1,0.2620,0.3735,702,214,4.603,64.5
144,SRA-B,1,0.3796,0.3225,3549,1196,6.584,7.9
61,SRA-B,1,0.3697,0.4199,4760,923,5.832,15.4
115,SRA-B,1,0.1531,0.3900,4309,40,1.695,99.6
162,SRA-B,1,0.1830,0.3354,2503,898,6.220,9.4
191,SRA-B,1,0.1023,0.4043,25,12,2.248,64.0
35,SRA-B,1,0.1807,0.3554,2114,63,2.726,98.3
225,SRA-B,1,0.1674,0.3296,3686,25,0.762,99.5
71,SRA-B,1,0.2774,0.3978,646,163,4.481,71.5
169,SRA-B,1,0.0645,0.3311,1377,9,0.245,99.4
67,SRA-B,1,0.2560,0.3337,4255,1182,6.478,7.6
59,SRA-B,1,0.1183,0.4063,8136,279,1.124,5.2
82,SRA-B,1,0.1397,0.3762,4093,12,0.656,99.8
54,SRA-B,1,0.3900,0.4142,4615,831,5.893,11.7
48,SRA-B,1,0.2703,0.4464,3092,14,0.110,99.6
55,SRA-B,1,0.3288,0.3525,703,175,4.317,73.3
40,SRA-B,1,0.1955,0.3382,2285,165,4.097,75.8
139,SRA-B,1,0.3171,0.3914,1109,168,4.156,77.0
246,SRA-B,1,0.4028,0.3407,2315,344,4.609,51.6
203,SRA-B,1,0.2980,0.4574,1528,173,3.872,70.9
17,SRA-B,1,0.1549,0.3917,829,29,1.659,97.9
5,SRA-B,1,0.1987,0.3202,1436,397,4.908,48.8
2,SRA-B,1,0.1214,0.3109,5165,6,0.020,99.9
207,SRA-B,1,0.1222,0.3242,709,127,3.743,85.6
124,SRA-B,1,0.4345,0.2815,1650,457,5.289,31.5
