expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic
E000,6456,1416,′(5.06); rigging(5.06); row(5.06); Track(5.06); receiver(5.06); tackle(5.06); perimeter(5.06); detachment(5.06); depot(5.06); platoon(5.06); superstructure(5.06); restart(5.06); halt(5.06); foot(5.06); ships(5.06); transports(5.06); missile(5.06); anchor(5.06); patrols(5.06); maneuver(5.06); feet(5.06); barbettes(5.06); duties(5.06); brigade(5.06); bases(5.06); loop(5.06); airfield(5.06); axis(5.06); deployment(5.06); damage(5.06); thrust(5.06); darkness(5.06); inch(5.06); speed(5.06); length(5.06); defenders(5.06); gear(5.06); load(5.06); rations(5.06); touchdowns(5.06); ambush(5.06); radius(5.06); dive(5.06); objectives(5.06); harbor(5.06); streak(5.06); occup(5.06); score(5.06); flight(5.06); squadrons(5.06),7.1,6.569,,,
E001,3,3,Emma(16.13); violations(15.13); 910(14.13),100.0,1.099,,,
E002,117,20,rated(10.85); called(10.85); named(7.97); known(7.04); of(0.87),86.3,1.549,,,
E003,5205,527,f(5.37); perpet(5.37); z(5.37); é(5.37); er(5.37); en(5.37); al(5.37); ar(5.37); ou(5.37); le(5.37); ro(5.37); il(5.37); va(5.37); Minister(5.37); bank(5.37); kin(5.37); ky(5.37); ki(5.37); hu(5.37); ini(5.37); cher(5.37); oul(5.37); ani(5.37); ko(5.37); vice(5.37); bi(5.37); ben(5.37); bell(5.37); ari(5.37); ba(5.37); lor(5.37); wa(5.37); mel(5.37); ka(5.37); vic(5.37); ti(5.37); NA(5.37); President(5.37); cred(5.37); mal(5.37); ha(5.37); president(5.37); ta(5.37); director(5.37); tel(5.37); ac(5.37); ent(5.37); se(5.37); am(5.37); om(5.37),20.4,5.488,,,
E004,2669,635,Bam(6.34); Booker(6.34); Brother(6.34); Night(6.34); Bobby(6.34); Henry(6.34); ago(6.34); Big(6.34); Joe(6.34); ly(6.34); We(6.34); Dave(6.34); Kong(6.34); Tournament(6.34); Angle(6.34); Mir(6.34); Kim(6.34); Mike(6.34); Alexander(6.34); Oh(6.34); Star(6.34); Ray(6.34); Team(6.34); Bob(6.34); unable(6.34); Illinois(6.34); Sky(6.34); Fred(6.34); Money(6.34); Rag(6.34); Christian(6.25); Long(6.24); Great(6.20); Karen(6.17); Jack(6.11); Brun(6.07); Bad(6.07); Samoa(6.07); Fresh(6.01); Seth(6.01); Mun(6.01); Angel(6.01); Charlie(6.01); Mark(6.01); nik(5.92); Blue(5.92); Sac(5.92); Val(5.92); Love(5.92); Nash(5.92),17.4,5.760,,,
E005,7636,15,",(4.81); ((4.81); ;(-0.78); .(-3.63); of(-4.57); to(-4.75); the(-6.72)",99.8,0.363,,,
E006,71,15,yet(11.57); remains(11.57); career(11.48); seems(11.12); York(8.36); many(6.98); is(4.34),85.9,2.231,,,
E007,340,41,driving(9.31); inside(9.31); entered(9.31); without(9.31); lead(9.31); against(9.31); hed(8.89); Following(7.68); There(6.31); near(5.64); found(4.92); into(4.63); at(3.71); for(3.66); in(-0.27); of(-0.67); the(-2.23),90.3,2.470,,,
E008,336,14,Their(9.32); their(9.32); they(4.22); its(2.90); his(1.96); the(-1.80),96.7,0.586,,,
E009,17194,5551,ict(3.65); aid(3.65); ks(3.65); ures(3.65); Mama(3.65); ars(3.65); ages(3.65); kill(3.65); mission(3.65); ives(3.65); forces(3.65); mix(3.65); pain(3.65); ators(3.65); respect(3.65); ades(3.65); threat(3.65); watch(3.65); Sinai(3.65); Dos(3.65); units(3.65); ns(3.65); flow(3.65); favor(3.65); police(3.65); pressure(3.65); surround(3.65); print(3.65); request(3.65); visit(3.65); health(3.65); attacks(3.65); iles(3.65); words(3.65); attention(3.65); wear(3.65); cases(3.65); favour(3.65); levels(3.65); edition(3.65); acts(3.65); murder(3.65); ores(3.65); activity(3.65); companies(3.65); account(3.65); culture(3.65); seconds(3.65); pack(3.65); alleg(3.65),3.7,8.083,,,
E010,9,7,prevention(14.55); centuries(13.96); sickness(13.55); Professor(13.23); cease(12.55); Carnegie(12.23); cers(11.55),100.0,1.889,,,
E011,504,25,it(8.74); 59(7.15); there(3.57); them(3.56); is(2.32); he(1.69); an(1.67); of(-1.24); the(-2.39),95.8,0.649,,,
E012,13017,3038,J(4.05); Wür(4.05); N(4.05); Tib(4.05); ā(4.05); š(4.05); ž(4.05); igh(4.05); rit(4.05); tim(4.05); Kimber(4.05); Cors(4.05); Chino(4.05); Administr(4.05); deaf(4.05); Androm(4.05); Eich(4.05); Tō(4.05); Bam(4.05); hap(4.05); traw(4.05); Zam(4.05); Ji(4.05); Kaw(4.05); Vand(4.05); OM(4.05); Knock(4.05); Lah(4.05); skirm(4.05); interfered(4.05); Help(4.05); spe(4.05); Ar(4.05); Af(4.05); Jo(4.05); Le(4.05); Com(4.05); Be(4.05); Brit(4.05); hn(4.05); United(4.05); Se(4.05); rop(4.05); John(4.05); War(4.05); Ro(4.05); Zh(4.05); Calder(4.05); Compos(4.05); NZ(4.05),5.5,7.251,,,
E013,61198,573,though(1.82); when(1.82); nor(1.82); where(1.82); requiring(1.82); including(1.82); demanded(1.82); between(1.82); provides(1.82); describing(1.82); involving(1.82); using(1.82); include(1.82); features(1.82); providing(1.82); impressed(1.82); watching(1.82); serves(1.82); attracted(1.82); convinced(1.82); meets(1.82); demonstrated(1.82); reportedly(1.82); included(1.82); may(1.82); stating(1.82); showed(1.82); causing(1.82); tells(1.82); contained(1.82); meant(1.82); proved(1.82); prompting(1.82); comprised(1.82); provoked(1.82); begins(1.82); featuring(1.82); giving(1.82); containing(1.82); suggests(1.82); experienced(1.82); told(1.82); consists(1.82); saying(1.82); believed(1.82); featured(1.82); mentioned(1.82); follows(1.82); consisted(1.82); praised(1.82),1.9,0.785,,,
E014,4845,739,bonus(5.47); total(5.47); striking(5.47); number(5.47); qualifying(5.47); weekend(5.47); ranking(5.47); injuries(5.47); eighth(5.47); victories(5.47); scoring(5.47); singles(5.47); injury(5.47); undefeated(5.47); freshman(5.47); touchdown(5.47); selection(5.47); streak(5.47); decision(5.47); defeats(5.47); preliminary(5.47); national(5.47); previous(5.47); final(5.47); short(5.47); Player(5.47); longest(5.47); last(5.47); fourteen(5.47); strongest(5.47); touring(5.47); record(5.47); defeating(5.47); records(5.47); rushing(5.47); overall(5.47); closing(5.47); finishing(5.47); ninth(5.47); favorite(5.47); successful(5.47); best(5.47); next(5.47); sixteen(5.47); reserve(5.47); tour(5.47); hour(5.47); title(5.47); defensive(5.47); seventh(5.47),16.6,5.591,,,
E015,8,6,logist(12.60),37.5,1.667,,,
E016,1065,64,""",(6.85); ""(6.64); at(4.36); name(4.04); war(4.02); "".(3.89); his(2.80); for(2.63); an(1.76); he(1.61); -(1.53); had(1.26); of(1.04); is(1.02); to(0.80); in(0.61); was(0.34); from(0.31); on(-0.09); as(-0.26); a(-0.35); by(-0.51); the(-2.01)",95.3,1.975,,,
E017,2554,278,likewise(6.40); presumed(6.40); explicitly(6.40); consequently(6.40); allegedly(6.40); steadily(6.40); nevertheless(6.40); predominantly(6.40); virtually(6.40); considerably(6.40); extensively(6.40); fairly(6.40); merely(6.40); partly(6.40); similarly(6.40); repeatedly(6.40); pretty(6.40); clearly(6.40); amongst(6.40); situated(6.40); temporarily(6.40); normally(6.40); reportedly(6.40); rarely(6.40); partially(6.40); apparently(6.40); greatly(6.40); formally(6.40); facing(6.40); also(6.40); very(6.40); sold(6.40); neither(6.40); effectively(6.40); occasionally(6.40); strongly(6.40); regularly(6.40); slowly(6.40); specifically(6.40); extremely(6.40); gradually(6.40); perhaps(6.40); increasingly(6.40); significantly(6.40); roughly(6.40); typically(6.40); growing(6.40); rapidly(6.40); closely(6.40); quite(6.40),21.7,4.575,,,
E018,2329,740,sign(6.53); trans(6.53); dist(6.53); ref(6.53); elaborate(6.53); legitimate(6.53); confident(6.53); loud(6.53); revolutionary(6.53); physically(6.53); sensitive(6.53); modest(6.53); martial(6.53); nervous(6.53); actic(6.53); politically(6.53); regardless(6.53); enthusiastic(6.53); openly(6.53); sacred(6.53); respective(6.53); external(6.53); architectural(6.53); racial(6.53); amateur(6.53); sad(6.53); ultimate(6.53); unexpected(6.53); exem(6.53); apolog(6.53); prof(6.53); popular(6.53); direct(6.53); publicly(6.53); legitim(6.53); entertainment(6.53); conservative(6.53); dramatic(6.53); clearly(6.53); ideal(6.53); vast(6.53); bulk(6.53); obvious(6.53); sharp(6.53); educational(6.53); aggressive(6.53); strategic(6.53); theatrical(6.53); writing(6.53); cult(6.53),10.5,6.123,,,
E019,7,7,1808(14.91); zu(14.91); υ(13.91); succeeds(13.32); 910(12.91); Jin(12.32); Graves(12.10),100.0,1.946,,,
E020,9653,17,from(4.48); with(4.48); of(4.48); to(4.48); as(4.48); for(0.17); by(-0.47); at(-1.93); on(-3.59); in(-5.09); a(-5.27); .(-6.29),99.9,1.425,,,
E021,160,13,could(10.40); can(7.73); 500(7.44); would(7.15); 11(6.25); had(5.41); were(4.44); was(3.56),96.9,1.672,,,
E022,164,12,resulted(10.36); British(10.36); to(0.80); the(-0.77),94.5,0.872,,,
E023,388,71,Cav(9.12); stair(9.12); Blu(9.12); multi(9.12); consists(9.12); consisting(9.12); consisted(9.12); initially(9.12); composed(9.12); middle(9.12); sw(9.12); our(9.12); originally(9.12); wasn(8.70); intended(8.67); spin(8.38); ours(8.38); constructed(8.38); those(7.75); previously(7.66); mainly(7.63); generally(7.53); special(7.36); an(6.39); opening(6.03); built(5.14),85.6,3.355,,,
E024,172,17,later(10.29); subsequently(8.97); earlier(7.97); further(5.97); the(-0.84),91.3,1.082,,,
E025,3725,590,released(5.85); met(5.85); formed(5.85); moved(5.85); pursued(5.85); integrated(5.85); undertaken(5.85); compiled(5.85); canceled(5.85); flown(5.85); targeted(5.85); planted(5.85); transformed(5.85); undertook(5.85); rushed(5.85); relied(5.85); built(5.85); put(5.85); sent(5.85); posed(5.85); written(5.85); published(5.85); originated(5.85); donated(5.85); supplied(5.85); interpreted(5.85); underwent(5.85); conceived(5.85); thrown(5.85); burned(5.85); banned(5.85); commenced(5.85); transported(5.85); withdrawn(5.85); shifted(5.85); sponsored(5.85); recruited(5.85); qualified(5.85); organised(5.85); tested(5.85); submitted(5.85); suspended(5.85); filed(5.85); rebuilt(5.85); pulled(5.85); enlisted(5.85); assembled(5.85); demolished(5.85); erected(5.85); founding(5.85),14.1,5.719,,,
E026,197,27,setting(10.10); state(10.10); cut(10.10); State(9.38); ism(7.10); set(6.13); is(2.45),86.3,1.905,,,
E027,1737,644,Citizen(6.95); Highland(6.95); gly(6.95); Jas(6.95); Rugby(6.95); Matilda(6.95); Charlotte(6.95); Bradley(6.95); Chan(6.95); Gran(6.95); Kirk(6.95); Anna(6.95); Parker(6.95); Vincent(6.95); Catherine(6.95); Alfred(6.95); Count(6.95); Lincoln(6.95); Stanley(6.95); Donald(6.95); Kennedy(6.95); Nelson(6.95); port(6.95); Henry(6.95); Bill(6.95); Ber(6.95); Edward(6.95); Alexander(6.95); Carol(6.95); Victoria(6.95); Ell(6.95); Hart(6.95); Elizabeth(6.95); Bishop(6.95); Anne(6.95); Dean(6.95); Ford(6.95); William(6.83); honor(6.83); Jane(6.82); Malcolm(6.82); Richard(6.79); Ed(6.77); Howard(6.76); Scott(6.73); Charles(6.73); Viscount(6.73); Lady(6.69); Andrew(6.69); Victor(6.69),21.5,5.973,,,
E028,1496,752,basins(7.17); warbler(7.17); vents(7.17); stumps(7.17); Myc(7.17); rabbits(7.17); springs(7.17); veins(7.17); gars(7.17); cystidia(7.17); catalyst(7.17); elevations(7.17); logs(7.17); Structure(7.17); yellowish(7.17); idium(7.17); odor(7.17); splits(7.17); hunters(7.17); ramps(7.17); complexes(7.17); cliffs(7.17); sters(7.17); occurs(7.17); toms(7.17); forests(7.17); communities(7.17); layer(7.17); cies(7.17); thunderstorms(7.17); slopes(7.17); trout(7.17); gills(7.17); trails(7.17); maturity(7.17); mushroom(7.17); dome(7.17); streams(7.17); vegetation(7.17); varies(7.17); fungus(7.17); symbols(7.17); mountains(7.17); bones(7.17); drugs(7.17); rows(7.17); elevation(7.17); pale(7.17); Mountains(7.17); ensis(7.17),14.2,6.275,,,
E029,9,3,Sonic(11.68),77.8,0.684,,,
E030,940,77,semi(7.84); anti(7.84); non(7.84); d(7.84); e(7.84); un(7.84); ex(7.84); pro(7.84); inter(7.84); more(7.84); sub(7.84); E(7.75); m(7.30); ve(7.29); re(6.86); far(6.84); Te(6.52); mid(5.84); free(5.52); dis(5.30); Hu(5.12); post(5.09); German(4.90); so(4.86); ant(4.52); B(4.49); pre(4.47); old(4.34); U(4.31); de(3.90); h(3.82); air(3.57); long(3.57); government(3.56); an(2.58); S(2.23); -(0.86); s(0.68); '(0.48); at(0.02); in(-0.03); for(-0.31); the(-3.29),94.9,3.235,,,
E031,104,10,war(11.02); War(6.23); at(3.19),89.4,0.792,,,
E032,8,8,Lauren(14.72); coral(14.72); Ast(14.72); 104(13.13); 195(11.91); Graves(11.91); Vand(11.02); yards(9.43),100.0,2.079,,,
E033,6513,1459,kept(5.05); dropped(5.05); resulting(5.05); struck(5.05); confirmed(5.05); routed(5.05); sparked(5.05); relieve(5.05); sealed(5.05); ruined(5.05); conceded(5.05); induced(5.05); loses(5.05); evacuate(5.05); ensured(5.05); attackers(5.05); downgraded(5.05); rerouted(5.05); inflicted(5.05); ashing(5.05); controlling(5.05); slowed(5.05); investigated(5.05); emphasized(5.05); protecting(5.05); halted(5.05); repaired(5.05); acking(5.05); posting(5.05); pinned(5.05); declared(5.05); resulted(5.05); earned(5.05); visited(5.05); aded(5.05); armed(5.05); reaching(5.05); staying(5.05); carved(5.05); weighed(5.05); disabled(5.05); proclaimed(5.05); interrupted(5.05); targeted(5.05); retreated(5.05); reporting(5.05); possessed(5.05); took(5.05); attacked(5.05); damaged(5.05),6.0,6.601,,,
E034,268,35,held(9.65); built(9.65); ge(9.65); place(9.44); Hu(6.61); ant(6.33); St(5.93); set(5.68); -(2.52); of(-0.74),88.4,2.259,,,
E035,5827,51,"""[(5.21); leading(5.21); s(5.11); access(3.72); world(3.40); lead(2.82); [PAD](1.63); state(1.43); major(1.27); no(0.22); British(-0.23)",99.1,0.632,,,
