expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,3034,1010,♭(6.15); Can(6.15); thing(6.15); Believe(6.15); Kiss(6.15); Krusty(6.15); suspects(6.15); doubts(6.15); somebody(6.15); decks(6.15); screw(6.15); warehouse(6.15); Kw(6.15); stupid(6.15); Bard(6.15); rones(6.15); say(6.15); you(6.15); sure(6.15); aren(6.15); tell(6.15); notion(6.15); Martha(6.15); Wake(6.15); SpongeBob(6.15); disappointment(6.15); realize(6.15); anywhere(6.15); Evan(6.15); haven(6.15); likes(6.15); Miz(6.15); got(6.15); You(6.15); Don(6.15); don(6.15); Mind(6.15); Us(6.15); hoping(6.15); Springfield(6.15); couldn(6.15); Olivia(6.15); myself(6.15); ampa(6.15); keeps(6.15); Have(6.15); know(6.15); Mil(6.15); ems(6.15); Love(6.15),11.1,6.288,,,,5,dialogue/media,semantic,3,mixed/unclear,mixed,3,mixed informal words,mixed
E001,21,7,to(5.46),61.9,1.325,,,,10,preposition,syntactic,10,preposition,syntactic,4,to preposition,syntactic
E002,3017,557,Al(6.16); Con(6.16); Kirk(6.16); Mik(6.16); Bobby(6.16); Nicholas(6.16); Susan(6.16); Vincent(6.16); Catherine(6.16); Larry(6.16); Charlotte(6.16); Grade(6.16); Kenneth(6.16); Malcolm(6.16); Ir(6.16); John(6.16); Ro(6.16); Car(6.16); Wil(6.16); Ad(6.16); Kevin(6.16); Anne(6.16); Steven(6.16); Patrick(6.16); Russell(6.16); Hend(6.16); Ian(6.16); Ol(6.16); Dave(6.16); Charlie(6.16); Jane(6.16); Christopher(6.16); Alfred(6.16); Kurt(6.16); Nick(6.16); Der(6.16); Earl(6.16); Jay(6.16); Jon(6.16); Matt(6.16); Kim(6.16); Alan(6.16); Andy(6.16); Donald(6.16); Mc(6.16); Roger(6.16); El(6.16); Operation(6.16); Ste(6.16); Ed(6.16),15.8,5.527,,,,10,names,semantic,9,personal names,semantic,8,first names,semantic
E003,82,15,"since(11.36); for(3.21); ,(2.07); to(1.38)",81.7,1.552,,,,3,prepositions/punctuation,mixed,7,function words,syntactic,5,"since/""for""",syntactic
E004,452,65,role(8.90); duties(8.90); orders(8.90); roles(8.90); regard(8.90); help(8.90); order(8.90); task(8.24); instructions(8.22); part(8.18); need(8.02); group(7.99); offers(7.90); assistance(7.90); call(7.63); position(7.47); AD(7.27); if(7.18); character(6.84); positions(6.22); support(5.75); os(5.58); final(4.84); of(-0.08),88.1,3.102,,,,9,roles/tasks,semantic,8,roles/tasks,semantic,6,roles/orders,mixed
E005,7074,2203,organ(4.93); bert(4.93); uss(4.93); chalk(4.93); endurance(4.93); Goebbels(4.93); Administr(4.93); MCA(4.93); angelo(4.93); capsule(4.93); Christchurch(4.93); Pagan(4.93); BC(4.93); tar(4.93); sex(4.93); TV(4.93); Angel(4.93); Star(4.93); ambulance(4.93); sonic(4.93); Abrams(4.93); Jaguar(4.93); cassette(4.93); rabbit(4.93); liquor(4.93); elt(4.93); agon(4.93); bird(4.93); Germany(4.93); India(4.93); fish(4.93); Film(4.93); Billboard(4.93); health(4.93); Sutherland(4.93); humanitarian(4.93); nav(4.93); Reconstruction(4.93); RAN(4.93); Timor(4.93); Destroyer(4.93); onstage(4.93); Texas(4.93); Kent(4.93); Empire(4.93); Penn(4.93); Fox(4.93); Stone(4.93); hus(4.93); Scotland(4.93),5.8,7.029,,,,2,mixed/unclear,mixed,1,random,mixed,1,random mixed tokens,mixed
E006,134,19,may(10.65); might(8.07); can(7.40); also(5.00); had(4.66); has(4.59); with(2.87); to(2.09); the(1.77); of(1.00),90.3,2.029,,,,8,modals/function words,syntactic,8,modal/auxiliary,syntactic,6,modal verbs,syntactic
E007,1446,9,"""(7.22); :(7.20); '(1.77); ,(-2.53)",99.5,0.501,,,,10,punctuation,syntactic,9,punctuation,syntactic,6,quotation/punctuation,syntactic
E008,12,3,the(4.18),75.0,0.721,,,,10,article,syntactic,10,article,syntactic,4,definite article,syntactic
E009,34,13,to(5.07); the(2.09),64.7,1.865,,,,10,function words,syntactic,8,function words,syntactic,4,"to/""the""",syntactic
E010,1014,28,"that(7.73); to(-0.25); by(-0.44); ,(-2.02); the(-3.07)",97.2,0.372,,,,10,conjunction/preposition,syntactic,6,complementizer,syntactic,4,that conjunction,syntactic
E011,2988,605,onies(6.17); icked(6.17); Fighting(6.17); aped(6.17); alled(6.17); ashing(6.17); izer(6.17); gged(6.17); oring(6.17); sible(6.17); rowing(6.17); itious(6.17); icing(6.17); ashed(6.17); ours(6.17); encing(6.17); urs(6.17); owed(6.17); eless(6.17); izations(6.17); apping(6.17); uous(6.17); cation(6.17); elling(6.17); gency(6.17); vation(6.17); isation(6.17); ding(6.17); ledge(6.17); otic(6.17); ishes(6.17); apped(6.17); ries(6.17); icts(6.17); bling(6.17); izes(6.17); cies(6.17); ancy(6.17); flooding(6.17); ule(6.17); ites(6.17); bled(6.17); ows(6.17); izing(6.17); ses(6.17); sions(6.17); aded(6.17); inated(6.17); cting(6.17); ging(6.17),7.6,5.526,,,,10,suffixes,syntactic,10,suffixes,syntactic,8,word suffixes,syntactic
E012,3471,332,regime(5.96); citizen(5.96); childhood(5.96); absence(5.96); association(5.96); regiment(5.96); remainder(5.96); classes(5.96); generation(5.96); nation(5.96); division(5.96); daughter(5.96); students(5.96); existence(5.96); youth(5.96); leadership(5.96); stages(5.96); firm(5.96); purpose(5.96); choice(5.96); rank(5.96); district(5.96); hands(5.96); university(5.96); spirit(5.96); branch(5.96); culture(5.96); county(5.96); society(5.96); student(5.96); individual(5.96); nature(5.96); status(5.96); step(5.96); unit(5.96); concept(5.96); education(5.96); girl(5.96); schools(5.96); college(5.96); environment(5.96); community(5.96); language(5.96); woman(5.96); health(5.96); boy(5.96); school(5.96); child(5.96); government(5.96); area(5.96),15.4,4.941,,,,8,society/education,semantic,8,society/education,semantic,7,society/institution nouns,semantic
E013,582,92,counties(8.53); Duke(8.53); District(8.53); County(8.53); construction(8.53); total(8.53); state(8.32); City(8.17); 1990(7.63); State(7.43); county(7.18); 1962(6.95); addition(6.66); 2010(6.46); pre(6.39); 2006(5.83); General(5.21); ian(5.17); group(5.00); National(4.89); she(4.49); band(4.42); Army(4.05); series(3.78); were(3.58); there(3.36); had(2.13); the(2.01); it(1.30),87.8,3.259,,,,7,administrative/geographic,semantic,7,geography/admin,semantic,5,geographic/administrative,mixed
