expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,3660,169,could(5.88); would(5.88); having(5.88); must(5.88); reportedly(5.88); Having(5.88); cannot(5.88); may(5.88); has(5.88); have(5.87); had(5.86); should(5.81); might(5.80); can(5.76); will(5.75); did(5.72); always(5.66); also(5.57); couldn(5.46); typically(5.46); does(5.43); never(5.42); usually(5.36); not(5.35); ve(5.33); subsequently(5.26); consequently(5.14); began(5.14); already(5.05); helped(5.03); attempted(5.01); actually(4.97); originally(4.92); often(4.92); seems(4.78); previously(4.74); initially(4.68); They(4.50); apparently(4.46); frequently(4.46); were(4.43); ever(4.36); then(4.33); eventually(4.29); longer(4.29); trying(4.18); begins(4.14); attempting(4.14); t(4.13); probably(4.07),69.0,3.389,,,,10,modals/adverbs,syntactic,7,auxiliary verbs,syntactic,8,modal/auxiliary verbs,syntactic
E001,2953,909,Bowen(6.19); bitt(6.19); Carell(6.19); Murdoch(6.19); arty(6.19); Goebel(6.19); Daley(6.19); Rodgers(6.19); Cruise(6.19); Rowling(6.19); Cooke(6.19); Eno(6.19); Farrell(6.19); Keller(6.19); Weaver(6.19); Bono(6.19); Ebert(6.19); Bryant(6.19); Cage(6.19); Bradley(6.19); Edwards(6.19); Dwight(6.19); Burke(6.19); Wellington(6.19); McCarthy(6.19); Churchill(6.19); Chandler(6.19); Angle(6.19); Middlesex(6.19); Hyde(6.19); Nash(6.19); Carey(6.19); Kim(6.19); Taylor(6.19); ledge(6.19); Lee(6.19); Cambridge(6.19); Kong(6.19); Morgan(6.19); Gordon(6.19); Parker(6.19); Roberts(6.19); Clinton(6.19); Lennon(6.19); iner(6.19); Smith(6.19); Jones(6.19); Edge(6.19); Benson(6.19); Sutherland(6.19),17.1,6.087,,,,10,proper names,semantic,8,proper names,semantic,7,surnames,semantic
E002,1918,675,pyram(6.81); hierogly(6.81); aller(6.81); hypoc(6.81); pec(6.81); gly(6.81); dyn(6.81); ropol(6.81); tab(6.81); rif(6.81); conting(6.81); sham(6.81); pic(6.81); fant(6.81); testim(6.81); nit(6.81); Hom(6.81); lob(6.81); nucle(6.81); gam(6.81); rum(6.81); psych(6.81); mod(6.81); emb(6.81); rhy(6.81); cul(6.81); mel(6.81); gal(6.81); oph(6.81); rap(6.81); sty(6.81); sequ(6.81); stit(6.81); sem(6.81); lect(6.81); gar(6.81); hom(6.81); tom(6.81); sch(6.81); syn(6.81); tem(6.81); vi(6.81); ric(6.81); min(6.81); ph(6.81); ob(6.81); rop(6.81); char(6.81); oc(6.81); aul(6.62),13.5,6.008,,,,10,subword fragments,syntactic,2,subword fragments,syntactic,3,subword roots,syntactic
E003,3142,480,ologically(6.10); keeps(6.10); couldn(6.10); physically(6.10); clearly(6.10); virtually(6.10); rarely(6.10); seemed(6.10); pretty(6.10); merely(6.10); wasn(6.10); getting(6.10); actually(6.10); really(6.10); didn(6.10); cannot(6.10); simply(6.10); looking(6.10); quite(6.10); extremely(6.10); seems(6.10); got(6.10); look(6.10); never(6.10); ently(6.10); just(6.08); not(6.04); ever(5.97); yet(5.95); still(5.93); longer(5.93); want(5.91); always(5.88); get(5.85); very(5.85); ll(5.84); completely(5.81); Just(5.78); Still(5.68); fairly(5.68); Don(5.68); laugh(5.68); gone(5.68); going(5.65); already(5.56); ve(5.55); felt(5.54); easy(5.51); gets(5.51); Have(5.51),25.5,4.881,,,,9,adverbs/conversational,syntactic,7,adverbs/modals,syntactic,7,informal adverbs/negation,syntactic
E004,1230,77,"Having(7.45); having(7.45); have(7.45); has(7.45); had(7.45); must(7.28); ve(7.01); reportedly(6.72); bears(6.45); need(6.32); should(6.13); want(6.04); features(5.95); already(5.77); could(4.80); get(4.77); wanted(4.58); may(4.31); did(3.85); never(3.83); often(3.83); due(3.73); not(3.73); would(2.96); also(2.80); are(2.77); began(2.39); t(2.38); were(2.29); with(0.67); ""(0.48); was(-0.60)",95.6,2.220,,,,8,auxiliary verbs,syntactic,8,have auxiliaries,syntactic,7,"auxiliary ""have"" verbs",syntactic
E005,3308,20,and(5.75); or(5.32); nor(5.29); then(2.22); but(2.21); /(1.04); while(0.50); -(-1.11),99.6,0.294,,,,10,conjunctions,syntactic,9,conjunctions,syntactic,8,coordinating conjunctions,syntactic
E006,4515,12,the(4.55); The(1.67); its(-0.11); this(-0.36); s(-2.58),99.8,0.142,,,,10,determiners,syntactic,10,definite article,syntactic,6,definite articles,syntactic
E007,3633,18,"""),(5.15); ,(4.92); "",(4.47); ),(3.81); ,""(3.25); —(1.53); .(-4.88)",99.6,0.202,,,,10,punctuation,syntactic,10,comma punctuation,syntactic,7,comma/clause punctuation,syntactic
E008,3338,1170,aim(6.01); progression(6.01); fees(6.01); findings(6.01); massacre(6.01); riff(6.01); application(6.01); revenue(6.01); impression(6.01); precipitation(6.01); membership(6.01); contribution(6.01); conclusion(6.01); nomination(6.01); proposal(6.01); governorship(6.01); ascent(6.01); teachings(6.01); submission(6.01); accusations(6.01); deaths(6.01); income(6.01); ratings(6.01); penalty(6.01); behavior(6.01); sales(6.01); legislation(6.01); terminus(5.93); establishment(5.84); designation(5.82); strategy(5.82); remainder(5.79); limit(5.79); commitment(5.77); score(5.75); wreckage(5.75); selection(5.75); complaint(5.75); situation(5.75); votes(5.75); decision(5.71); proceedings(5.69); plea(5.69); constitution(5.69); aftermath(5.69); dismissal(5.69); bail(5.69); portion(5.69); possibility(5.69); gap(5.69),7.9,6.583,,,,9,abstract nouns,syntactic,7,nominalizations,syntactic,6,abstract nouns,mixed
E009,1932,919,Citizen(6.80); catalyst(6.80); Settle(6.80); Action(6.80); Symphony(6.80); panel(6.80); brake(6.80); Element(6.80); Letter(6.80); defendant(6.80); Body(6.80); Raid(6.80); jet(6.80); Commission(6.80); Common(6.80); crown(6.80); penalty(6.80); Constitution(6.80); Ministry(6.80); Record(6.80); Governor(6.80); Disc(6.80); Court(6.76); Task(6.69); Government(6.61); Viscount(6.58); Office(6.58); Alliance(6.54); Protection(6.48); Paper(6.48); bail(6.48); Herald(6.48); constitution(6.48); Mine(6.48); Appeals(6.48); chair(6.48); edition(6.48); Committee(6.48); Order(6.48); Senate(6.44); House(6.41); Pyramid(6.39); Experiment(6.39); elimination(6.39); Standing(6.39); Judge(6.39); Performance(6.39); Assembly(6.39); Museum(6.39); Act(6.39),14.1,6.420,,,,8,institutions/government,semantic,5,institutions/titles,mixed,6,institutional titles,mixed
