original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
94,SRA-B,0,0.2426,0.3992,2175,38,1.163,98.8
89,SRA-B,0,0.2752,0.4277,3501,38,1.705,99.2
228,SRA-B,0,0.2196,0.4082,7755,10,0.072,100.0
20,SRA-B,0,0.1909,0.4146,4744,182,4.185,66.3
163,SRA-B,0,0.2815,0.4377,1171,42,0.552,97.1
121,SRA-B,0,0.2286,0.4156,1801,29,1.482,98.9
3,SRA-B,0,0.2927,0.4288,2932,113,2.927,90.0
172,SRA-B,0,0.2041,0.3959,205,36,2.572,88.8
33,SRA-B,0,0.4224,0.3085,4932,1341,6.590,7.9
203,SRA-B,0,0.3560,0.2702,3708,1159,6.504,12.7
183,SRA-B,0,0.2393,0.4171,1464,84,1.778,95.8
22,SRA-B,0,0.2565,0.3941,4041,150,3.115,85.1
132,SRA-B,0,0.1827,0.4301,39271,55,0.555,100.0
137,SRA-B,0,0.1207,0.3355,1739,83,1.464,96.8
180,SRA-B,0,0.1837,0.3992,1007,45,1.329,95.6
104,SRA-B,0,0.2474,0.4409,3978,7,0.472,100.0
110,SRA-B,0,0.2474,0.4557,4207,292,4.521,22.0
237,SRA-B,0,0.2192,0.3864,151,23,2.150,87.4
193,SRA-B,0,0.2634,0.4282,210,30,1.601,87.1
81,SRA-B,0,0.3332,0.4445,2,2,0.693,100.0
62,SRA-B,0,0.2950,0.3713,5202,1026,6.198,11.2
47,SRA-B,0,0.3897,0.4557,901,27,0.575,97.2
66,SRA-B,0,0.5645,0.2231,1984,862,6.321,15.5
246,SRA-B,0,0.0801,0.3899,250,39,2.210,83.2
209,SRA-B,0,0.2835,0.4332,253,21,2.112,94.9
113,SRA-B,0,0.3580,0.4410,3763,4,0.009,99.9
213,SRA-B,0,0.2788,0.4083,5123,45,0.175,99.2
55,SRA-B,0,0.1020,0.3897,426,77,3.010,87.1
223,SRA-B,0,0.4134,0.3283,5678,1749,6.872,8.2
68,SRA-B,0,0.2141,0.4054,7376,8,0.064,99.9
19,SRA-B,0,0.8020,0.2521,4651,2185,7.216,5.4
108,SRA-B,0,0.3572,0.4396,3094,20,0.119,99.3
145,SRA-B,0,0.3648,0.0000,3506,248,4.550,35.3
159,SRA-B,0,0.1713,0.3875,1905,121,3.039,93.3
188,SRA-B,0,0.3116,0.4365,3481,27,0.663,99.5
101,SRA-B,0,0.2271,0.2947,1452,104,3.207,94.6
253,SRA-B,0,0.2393,0.4041,717,27,0.648,97.1
124,SRA-B,0,0.2454,0.4131,3174,37,0.615,98.8
219,SRA-B,0,0.2748,0.4524,1460,19,1.618,99.4
27,SRA-B,0,0.3100,0.3588,6110,969,6.175,9.9
76,SRA-B,0,0.3845,0.4539,6432,4,0.005,100.0
49,SRA-B,0,0.5908,0.2905,6614,1815,6.704,9.5
85,SRA-B,0,0.3214,0.4386,6,2,0.451,83.3
88,SRA-B,0,0.2919,0.4369,136,13,0.925,92.6
37,SRA-B,0,0.5817,0.2535,6122,2267,7.082,6.4
165,SRA-B,0,0.3273,0.3754,59352,412,0.534,0.7
153,SRA-B,0,0.2299,0.3658,2800,811,6.023,13.0
152,SRA-B,0,0.2473,0.4326,2966,44,0.300,98.7
17,SRA-B,0,0.1510,0.4279,2629,34,1.866,99.4
