original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
79,SRA-B,1,0.1434,0.3937,3726,58,2.004,99.2
166,SRA-B,1,0.1979,0.3533,1113,44,2.042,97.8
64,SRA-B,1,0.1345,0.4149,2793,12,0.435,99.6
69,SRA-B,1,0.3087,0.3807,4209,962,6.160,7.6
1,SRA-B,1,0.3230,0.4124,3086,690,5.618,14.1
29,SRA-B,1,0.2652,0.3823,4405,722,5.533,16.3
124,SRA-B,1,0.4247,0.3186,2060,851,6.306,13.6
182,SRA-B,1,0.1014,0.3069,3652,1308,6.671,7.2
153,SRA-B,1,0.1604,0.3240,453,48,2.314,92.1
225,SRA-B,1,0.2153,0.3458,3494,1171,6.313,8.7
55,SRA-B,1,0.0927,0.3326,2199,60,1.490,97.5
92,SRA-B,1,0.4132,0.4320,2116,351,4.772,55.1
56,SRA-B,1,0.2009,0.3499,2721,299,4.696,28.1
100,SRA-B,1,0.3698,0.3129,4145,1796,7.099,6.6
235,SRA-B,1,0.3377,0.4278,2587,284,4.405,24.4
2,SRA-B,1,0.2608,0.3250,2618,893,6.207,17.3
188,SRA-B,1,0.0861,0.3861,25,18,2.789,24.0
57,SRA-B,1,0.3243,0.3264,3896,1087,6.185,15.3
187,SRA-B,1,0.3836,0.2692,2313,1026,6.466,11.7
21,SRA-B,1,0.2472,0.3108,3434,669,5.785,19.0
65,SRA-B,1,0.1751,0.3340,3603,929,6.129,17.7
125,SRA-B,1,0.1643,0.3081,413,82,3.720,86.4
223,SRA-B,1,0.1683,0.4304,4721,20,0.952,99.8
184,SRA-B,1,0.1582,0.3670,4758,13,0.605,99.9
84,SRA-B,1,0.1159,0.3174,2776,22,1.310,99.6
212,SRA-B,1,0.1632,0.4447,3063,66,1.753,98.7
174,SRA-B,1,0.2447,0.3691,1784,375,5.104,36.8
143,SRA-B,1,0.1415,0.4138,2700,16,0.742,99.7
178,SRA-B,1,0.2246,0.3208,3958,1036,6.119,11.4
205,SRA-B,1,0.2173,0.2991,32,12,2.236,71.9
251,SRA-B,1,0.0977,0.4055,2182,78,2.145,97.6
105,SRA-B,1,0.2160,0.3459,2574,1112,6.590,10.3
201,SRA-B,1,0.1752,0.4191,4123,31,1.605,99.6
15,SRA-B,1,0.1662,0.3971,643,36,2.697,97.0
19,SRA-B,1,0.1564,0.4079,826,35,1.800,97.2
131,SRA-B,1,0.1016,0.3986,2260,23,0.600,99.3
58,SRA-B,1,0.0682,0.3974,1051,26,0.535,98.4
194,SRA-B,1,0.1925,0.2618,1716,317,5.222,20.2
106,SRA-B,1,0.2794,0.3989,3524,25,0.574,99.6
45,SRA-B,1,0.2037,0.3243,229,40,2.852,86.5
60,SRA-B,1,0.1596,0.3086,1517,251,4.501,61.1
164,SRA-B,1,0.1121,0.3247,2449,47,1.685,98.7
216,SRA-B,1,0.1324,0.3995,931,22,0.481,97.9
136,SRA-B,1,0.2740,0.4242,3879,6,0.027,99.9
102,SRA-B,1,0.1504,0.2774,3024,464,5.507,19.0
110,SRA-B,1,0.1766,0.3509,602,152,4.169,78.7
93,SRA-B,1,0.1698,0.3478,3396,729,5.691,26.5
244,SRA-B,1,0.3092,0.4144,1357,49,1.737,97.4
16,SRA-B,1,0.5793,0.2694,2996,733,5.519,28.6
87,SRA-B,1,0.3087,0.3702,4787,1131,6.355,6.3
