expert_id	score	category	type
E000	10	prepositions	syntactic
E001	10	pronouns	syntactic
E002	6	articles	syntactic
E003	8	past-tense verbs	syntactic
E004	4	mixed/unclear	mixed
E005	4	mixed adjectives	mixed
E006	3	mixed nouns	mixed
E007	8	action verbs	semantic
E008	9	question words	syntactic
E009	7	verb forms	syntactic
E010	5	punctuation+mixed	mixed
E011	9	time terms	semantic
E012	7	geo adjectives	semantic
E013	2	random fragments	mixed
E014	9	adverbs	syntactic
E015	3	mixed abstract	mixed
E016	2	year+punct	mixed
E017	2	proper nouns	mixed
E018	1	random	mixed
E019	3	titlecase mixed	mixed
E020	7	descriptive adjectives	semantic
E021	8	entry verbs	syntactic
E022	10	prepositions	syntactic
E023	8	determiners	syntactic
E024	10	be verbs	syntactic
E025	8	function words	syntactic
E026	9	conflict/history	semantic
E027	7	articles	syntactic
E028	9	geographic names	semantic
E029	3	mixed pronouns	mixed
E030	7	function words	syntactic
E031	8	subword prefixes	syntactic
E032	9	prepositions	syntactic
E033	10	conjunctions	syntactic
E034	10	punctuation pairs	syntactic
E035	10	coordinators	syntactic
E036	8	reporting language	semantic
E037	10	historical years	semantic
E038	10	punctuation pairs	syntactic
E039	9	causation verbs	semantic
E040	2	subword mix	mixed
E041	8	separators	syntactic
E042	3	mixed/unclear	mixed
E043	10	comma punctuation	syntactic
E044	10	historical dates	semantic
E045	8	discourse adverbs	syntactic
E046	3	mixed abstract	mixed
E047	5	pronoun starters	mixed
E048	9	measurement terms	semantic
E049	6	military/naval	semantic
E050	9	temporal preps	syntactic
E051	10	spatial preps	syntactic
E052	8	conjunctions	syntactic
E053	5	plural nouns	syntactic
E054	2	titlecase random	mixed
E055	9	quantifiers	syntactic
E056	2	random	mixed
E057	3	titlecase mix	mixed
E058	8	auxiliary verbs	syntactic
E059	8	connective words	syntactic
E060	9	prefixes	syntactic
E061	9	modals/auxiliaries	syntactic
E062	6	military/infrastructure	semantic
E063	2	random nouns	mixed
E064	8	media/awards	semantic
E065	9	demonstratives	syntactic
E066	8	brackets/quotes	syntactic
E067	9	quantifiers	syntactic
E068	8	inclusion verbs	semantic
E069	8	number words	syntactic
E070	9	languages/nationalities	semantic
E071	8	superlatives	syntactic
E072	10	suffix fragments	syntactic
E073	4	adjective mix	mixed
E074	5	prepositions	syntactic
E075	8	determiners	syntactic
E076	8	prepositions	syntactic
E077	8	weather terms	semantic
E078	9	superlatives	syntactic
E079	10	punctuation pairs	syntactic
E080	10	communication verbs	semantic
E081	9	location preps	syntactic
E082	8	media inclusion	semantic
E083	10	numbers	syntactic
E084	2	titlecase random	mixed
E085	6	proper names	semantic
E086	3	subword mix	mixed
E087	10	punctuation	syntactic
E088	6	discourse markers	syntactic
E089	9	spatial preps	syntactic
E090	2	random nouns	mixed
E091	8	punctuation	syntactic
E092	3	name fragments	mixed
E093	7	measurement terms	semantic
E094	6	punctuation+function	syntactic
E095	8	event verbs	semantic
E096	9	motion/location	semantic
E097	6	nominalization suffixes	syntactic
E098	9	distributive determiners	syntactic
E099	4	punctuation+years	mixed
