expert_id	score	category	type
E000	9	past tense verbs	semantic
E001	10	function words	syntactic
E002	10	determiners	syntactic
E003	10	quantifiers	semantic
E004	4	mixed/unclear	mixed
E005	9	relative pronouns	syntactic
E006	10	determiners	syntactic
E007	8	chars/prefixes	syntactic
E008	1	random	mixed
E009	10	operational/abstract	semantic
E010	9	suffixes	syntactic
E011	6	numbers/determiners	mixed
E012	9	connectives/punct	syntactic
E013	10	male names	semantic
E014	9	auxiliary verbs	syntactic
E015	10	punctuation	syntactic
E016	10	adjectives/amounts	semantic
E017	6	land/terrain	semantic
E018	4	mixed/temporal	mixed
E019	2	mixed/unclear	mixed
E020	10	verbs	semantic
E021	9	punctuation	syntactic
E022	10	meteorology/geography	semantic
E023	9	gendered pronouns	syntactic
E024	10	single letters	syntactic
E025	10	conjunction	syntactic
E026	10	function words	syntactic
E027	9	years/relations	semantic
E028	10	legal/political	semantic
E029	10	determiners	syntactic
E030	10	foreign characters	syntactic
E031	8	prepositions	syntactic
E032	10	numbers	syntactic
E033	9	sets/configurations	semantic
E034	9	spatial prepositions	syntactic
E035	10	percentages/numbers	syntactic
E036	4	mixed/unclear	mixed
E037	8	determiners	syntactic
E038	9	punctuation/brackets	syntactic
E039	10	past tense verbs	semantic
E040	10	punctuation	syntactic
E041	10	proper nouns	semantic
E042	10	cardinal direction	semantic
E043	8	prepositions	syntactic
E044	6	mixed/proper nouns	semantic
E045	9	sentence starters	semantic
E046	8	verbs	semantic
E047	7	prepositions	syntactic
E048	10	pronouns	syntactic
E049	10	directional adverbs	semantic
E050	10	biographical dates	semantic
E051	8	function words	syntactic
E052	5	punctuation/relative	mixed
E053	10	subword fragments	syntactic
E054	10	punctuation	syntactic
E055	9	production/supply	semantic
E056	6	mixed/reference	mixed
E057	3	mixed/unclear	mixed
E058	10	preposition	syntactic
E059	9	US/national identity	semantic
E060	10	academic/memoirs	semantic
E061	8	song titles	semantic
E062	7	spatial/relational	semantic
E063	10	organizations/national	semantic
E064	10	subword fragments	syntactic
E065	10	colors/regions	semantic
E066	6	prepositions	syntactic
E067	10	adverbs/prepositions	syntactic
E068	10	discourse markers	semantic
E069	9	calling/naming	semantic
E070	3	mixed/unclear	mixed
E071	10	conjunctions	syntactic
E072	5	mixed/prepositions	mixed
E073	8	numerals/letters	syntactic
E074	9	technical/nautical	semantic
E075	10	syllables/names	syntactic
E076	10	indefinite determiners	syntactic
E077	9	abbreviations	syntactic
E078	10	testimony/verbal	semantic
E079	10	subword fragments	syntactic
E080	10	punctuation	syntactic
E081	10	conjunctions/adverbs	syntactic
E082	3	mixed/unclear	mixed
E083	9	sentence starters	syntactic
E084	10	punctuation	syntactic
E085	10	subword fragments	syntactic
E086	9	numeric/data	semantic
E087	5	mixed/prepositions	mixed
E088	10	conjunctions	syntactic
E089	10	quantity/measurement	semantic
E090	9	prepositions	syntactic
E091	10	punctuation	syntactic
E092	10	subword fragments	syntactic
E093	10	spatial prepositions	syntactic
E094	10	sports	semantic
E095	8	determiners	syntactic
E096	3	mixed/unclear	mixed
E097	10	number	syntactic
E098	9	rankings/top	semantic
E099	9	pronouns/auxiliary	syntactic
