layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.1562,0.4084,"other, its, several, many, her, second, third, another, six, others, most, previous, same, seven, some, fourth, various, their, number, multiple"
blocks.0.ff_or_moe,1,0.4081,0.0000,"16, 17, 1, 5, 12, 10, 14, 2, 3, 15, 7, 4, 6, 13, 9, 8, 25, 20, 24, 22"
blocks.0.ff_or_moe,2,0.2005,0.3890,"is, and, has, to, are, as, in, for, at, R, v, on, s, it, was, en, the, over, other, a"
blocks.0.ff_or_moe,3,0.1788,0.3976,"may, is, to, and, was, 3, with, in, 5, two, as, can, has, C, for, on, G, F, the, by"
blocks.0.ff_or_moe,4,0.1125,0.3626,"their, them, all, they, those, these, north, back, All, night, south, out, our, They, day, order, the, east, west, what"
blocks.0.ff_or_moe,5,0.1010,0.3758,"c, no, long, t, old, k, d, D, as, he, b, p, in, f, 1, to, other, T, now, for"
blocks.0.ff_or_moe,6,0.2369,0.3196,"general, English, international, European, late, American, national, German, federal, naval, initial, major, early, Italian, legal, particular, Second, Norwegian, domestic, senior"
blocks.0.ff_or_moe,7,0.5904,0.2169,"nautical, sq, tropical, millimetres, depth, metric, inHg, load, broadside, forward, propeller, caliber, barometric, QF, brake, spe, casemates, finder, dissipated, millimeter"
blocks.0.ff_or_moe,8,0.2901,0.4099,"on, ., "", to, as, and, in, a, ,, was, he, B, the, F, (, en, it, by, for, is"
blocks.0.ff_or_moe,9,0.3477,0.3596,"star, co, children, starring, starred, actor, filmed, male, written, directed, director, production, executive, stars, documentary, writer, creator, guest, actress, comedy"
blocks.0.ff_or_moe,10,0.1214,0.3884,"the, leading, a, three, one, two, most, first, their, four, his, New, more, this, early, both, it, in, many, The"
blocks.0.ff_or_moe,11,0.1169,0.2907,"con, h, ap, ev, im, dis, pred, consisting, mag, un, w, op, ad, as, sc, el, M, p, m, ac"
blocks.0.ff_or_moe,12,0.2938,0.4311,"and, as, in, to, with, on, which, along, ,, was, "", for, ., ', by, that, but, from, at, B"
blocks.0.ff_or_moe,13,0.1280,0.3217,"o, os, op, ip, p, official, re, m, act, un, de, ac, ce, al, en, ep, d, g, ad, ak"
blocks.0.ff_or_moe,14,0.0696,0.3261,"o, later, ant, composed, ing, until, son, s, along, f, on, during, old, present, os, at, as, for, those, co"
blocks.0.ff_or_moe,15,0.1812,0.3713,"y, ., in, k, ,, on, to, at, and, by, use, St, was, d, no, as, F, s, of, en"
blocks.0.ff_or_moe,16,0.1063,0.3243,"T, sh, e, Sun, r, am, well, R, L, ,, and, S, P, w, in, D, s, for, un, re"
blocks.0.ff_or_moe,17,0.1644,0.3645,"non, S, "", high, two, un, B, to, and, as, four, T, t, M, in, ,, on, is, re, E"
blocks.0.ff_or_moe,18,0.2950,0.3242,"built, old, known, starting, constructed, founded, famous, notable, existing, beginning, longest, dating, build, surviving, former, named, earliest, been, established, older"
blocks.0.ff_or_moe,19,0.3241,0.3194,"white, brief, green, electric, hot, blue, extra, fore, wet, outer, hind, sub, yellow, dry, hom, black, commercial, grass, vast, mountain"
blocks.0.ff_or_moe,20,0.2701,0.4506,"(, and, in, "", to, ,, D, on, as, with, was, F, A, s, ', the, R, P, T, for"
blocks.0.ff_or_moe,21,0.3215,0.4437,"and, in, to, as, on, with, for, ,, was, the, by, of, he, The, after, from, ., that, at, it"
blocks.0.ff_or_moe,22,0.2439,0.4147,"since, to, as, before, in, on, for, ,, with, at, by, ., it, and, but, so, who, from, during, this"
blocks.0.ff_or_moe,23,0.4309,0.2782,"continued, reference, personal, contributing, according, add, added, cont, loyal, Compar, straight, ought, continuing, faithful, deeply, sensitive, raw, thorough, waste, avid"
blocks.0.ff_or_moe,24,0.5324,0.3065,"ized, ised, atory, icating, ating, icated, ents, zed, cting, ned, ging, icate, ated, ures, ising, izing, ations, cts, bed, ured"
blocks.0.ff_or_moe,25,0.2865,0.3251,"ne, i, ah, Jr, k, ich, oz, ki, Ban, Ma, ˈ, Sr, um, ka, ik, z, che, Ali, ha, da"
blocks.0.ff_or_moe,26,0.1831,0.4014,"0, i, 1, 2, 5, 3, 6, 4, 9, 8, 7, re, with, 10, as, B, (, at, s, E"
blocks.0.ff_or_moe,27,0.4056,0.2968,"Army, anniversary, Academy, School, towns, College, Church, Kingdom, capital, House, Center, Age, church, villages, Wars, works, tribes, episodes, Symphony, Institute"
blocks.0.ff_or_moe,28,0.4408,0.2594,"moved, tag, couple, looked, bit, lot, variety, move, moon, bs, dream, bachelor, degrees, hometown, friend, volley, lots, reputation, moving, handful"
blocks.0.ff_or_moe,29,0.1936,0.3006,"mid, anti, primary, joint, newly, early, British, pro, German, US, French, Twenty, equal, northern, blind, open, southern, Dutch, American, new"
blocks.0.ff_or_moe,30,0.5282,0.6938,"2006, 500, 2004, 2005, 2008, 000, 2010, 2007, August, 2009, 1992, 2012, 1994, September, June, July, 2002, 2003, 1998, 2011"
blocks.0.ff_or_moe,31,0.0946,0.3952,"his, close, given, be, enough, about, a, the, he, three, good, two, one, their, to, not, some, this, an, very"
blocks.0.ff_or_moe,32,0.2764,0.4352,"to, in, as, the, The, with, on, for, and, "", he, by, was, a, his, that, F, from, is, at"
blocks.0.ff_or_moe,33,0.2025,0.4053,"the, its, an, one, a, two, his, their, three, it, at, this, on, that, in, first, four, other, to, """
blocks.0.ff_or_moe,34,0.2520,0.3947,"also, still, almost, not, just, already, always, once, actually, never, initially, immediately, nearly, often, probably, simply, generally, usually, now, even"
blocks.0.ff_or_moe,35,0.2813,0.4218,"to, with, as, the, a, for, and, by, on, an, in, that, ,, at, it, so, into, of, their, two"
blocks.0.ff_or_moe,36,0.1280,0.3210,"S, Grand, Christian, character, Man, Lin, G, book, William, W, Ch, Black, B, White, P, E, O, Gr, K, C"
blocks.0.ff_or_moe,37,0.2973,0.4394,"to, in, as, on, with, ,, the, for, by, at, D, was, "", he, a, and, from, The, is, over"
blocks.0.ff_or_moe,38,0.2775,0.4374,"to, in, as, with, at, and, on, was, ,, for, from, his, by, a, due, the, "", D, of, because"
blocks.0.ff_or_moe,39,0.3032,0.2978,"God, War, Part, Green, Men, east, Much, Sur, Stanley, Round, Wind, bank, Final, reign, Rain, Black, Kings, Up, Low, Road"
blocks.0.ff_or_moe,40,0.1857,0.4157,"A, 4, 1, an, a, 2, 5, 3, 6, M, B, D, S, 7, C, L, F, the, no, O"
blocks.0.ff_or_moe,41,0.1327,0.4025,"who, she, he, to, during, in, they, her, that, She, on, and, with, as, it, W, old, for, dis, used"
blocks.0.ff_or_moe,42,0.7199,0.2259,"wounding, cton, Pedro, ospace, onymous, nsic, Patriot, Augusta, emed, heraldic, MV, nox, unted, sham, Harald, Commercial, Hellen, fried, copal, battered"
blocks.0.ff_or_moe,43,0.4184,0.2618,"Chart, movement, points, pressure, ranging, elements, condition, temperature, sides, motion, derived, consensus, wave, figures, impact, data, imagery, shots, intensity, dimensional"
blocks.0.ff_or_moe,44,0.2690,0.3559,"work, hand, round, night, air, flight, day, view, time, morning, evening, seconds, week, afternoon, days, minute, hours, water, foot, noon"
