layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.3547,0.2541,"of, ), proposed, control, caused, core, headed, repeated, safety, roof, planet, marine, twelve, kel, concentration, represent, external, counted, interchange, register"
blocks.0.ff_or_moe,1,0.4138,0.2641,"10, ous, Andrew, construction, tw, Jane, Bry, oph, Because, human, Wat, Ut, Ellis, chapter, featuring, Salt, showing, Chuck, thirty, Advent"
blocks.0.ff_or_moe,2,0.3873,0.2522,"is, ian, Carl, Gall, ara, ory, ek, has, ians, Cou, ops, ira, Shakespeare, achi, does, Brooks, Yang, mere, lad, jor"
blocks.0.ff_or_moe,3,0.1679,0.2552,"K, C, land, level, may, 3, m, ham, O, MC, heads, Ch, M, see, headquarters, zer, Tower, Nation, beam, sted"
blocks.0.ff_or_moe,4,0.3553,0.2695,"company, album, record, ade, Group, Cross, ort, ved, Lang, north, bin, Cleveland, competition, Pay, records, days, launch, term, phase, organization"
blocks.0.ff_or_moe,5,0.2782,0.2415,"c, La, long, five, Matt, Pu, ant, Carr, Anna, Dem, previous, Keith, immediately, Mother, ys, Johnson, average, winter, ations, Digital"
blocks.0.ff_or_moe,6,0.3720,0.2757,"when, Bor, Australian, king, ard, Anthony, active, Francis, Cre, Ka, fresh, ff, Marcus, Wayne, crowd, heat, Kit, student, Naval, spoke"
blocks.0.ff_or_moe,7,0.3739,0.2742,"Col, where, bu, pet, 000, ple, scene, ä, 500, mi, vel, km, Edge, sometimes, cup, ft, sq, 400, lone, coll"
blocks.0.ff_or_moe,8,0.3801,0.2361,"on, li, aircraft, ma, ta, ken, straight, very, Marvel, agan, Ade, Drive, Raf, Broken, northwest, stops, upgraded, hole, percentage, Butter"
blocks.0.ff_or_moe,9,0.4488,0.2620,"Sky, Rad, ki, path, writer, Sher, Haw, mast, living, Hamilton, receiving, speak, iro, Jake, Hot, oral, aking, Sop, Ces, starring"
blocks.0.ff_or_moe,10,0.2869,0.2669,"and, ut, campaign, ing, placed, ko, best, hip, leading, object, eyes, mist, meets, scoring, took, journey, pri, án, shire, Schn"
blocks.0.ff_or_moe,11,0.3011,0.2527,"con, Cap, Pre, Can, Power, Dur, Me, Tan, Eu, Hero, [, developed, effect, Kon, oo, county, h, Love, Sed, Ves"
blocks.0.ff_or_moe,12,0.2517,0.2970,"B, T, side, na, Mc, Boy, Hell, II, ith, Some, There, bro, invasion, ald, sides, ma, Table, Others, Beautiful, I"
blocks.0.ff_or_moe,13,0.3126,0.3002,"Al, ip, official, fan, Li, act, game, Ol, 1st, million, 2nd, row, 3rd, ack, greater, independent, Virgin, tit, hop, third"
blocks.0.ff_or_moe,14,0.3058,0.2537,"one, Mer, pe, sel, members, contemporary, composed, review, ends, Wit, widely, influence, achieved, Cort, s, Colorado, ives, honey, representation, Heaven"
blocks.0.ff_or_moe,15,0.2721,0.2620,"Ke, y, ty, ring, d, ten, hum, Play, va, ting, ue, Bank, complex, arm, Jer, ero, pred, Master, m, my"
blocks.0.ff_or_moe,16,0.3233,0.2602,"T, cover, Pat, Real, sh, Mus, Stephen, station, fur, Gil, Most, trans, Gro, Marc, Dom, Harrison, Grey, Show, Mud, alien"
blocks.0.ff_or_moe,17,0.4201,0.2621,"Ba, iz, ob, process, high, dog, Ev, Din, Wes, colonial, Aw, hydro, outer, economy, Market, Á, civil, reflected, consider, complement"
blocks.0.ff_or_moe,18,0.2245,0.2630,"old, second, Un, Tri, named, Great, Cam, Hall, Im, known, former, South, Cad, inner, Five, giving, built, District, turned, flying"
blocks.0.ff_or_moe,19,0.2622,0.2748,"design, white, material, Dar, works, style, weight, energy, Star, time, wall, called, Castle, fair, cost, quarter, allowed, room, passage, square"
blocks.0.ff_or_moe,20,0.3222,0.2626,"(, ung, ed, Ay, replaced, ced, set, em, dismissed, built, responded, ento, hurricane, chrom, SK, obsessed, ("", refr, westbound, ised"
blocks.0.ff_or_moe,21,0.3140,0.2498,"-, Blue, Stone, Fair, grade, Mountain, Age, .,, anda, eastern, Senator, appointment, doc, TM, Potomac, ‑, un, western, –, Hill"
blocks.0.ff_or_moe,22,0.3321,0.2559,"black, since, government, Or, center, species, park, so, screen, election, centre, pushed, Glad, cutting, operational, haz, administrative, paying, retirement, green"
blocks.0.ff_or_moe,23,0.3717,0.2536,"Rose, continued, gar, according, Mes, Australia, Pie, clean, Bryan, International, Nathan, urban, steel, real, prof, And, bring, scr, Somer, camera"
blocks.0.ff_or_moe,24,0.3528,0.2662,"title, plan, 14, Sou, Dark, hel, rough, sales, generally, string, still, away, asked, ule, fed, titles, AC, ised, Io, tide"
blocks.0.ff_or_moe,25,0.3202,0.2721,"as, National, um, Ban, led, gh, helped, Prim, ind, conducted, fought, expected, à, Leg, ification, sh, subsequently, ident, canon, colon"
blocks.0.ff_or_moe,26,0.2682,0.2337,"1, i, 2, port, Division, ho, R, 10, 0, ent, try, Pul, protect, Rap, ˈ, catch, allow, Fol, brand, Cost"
blocks.0.ff_or_moe,27,0.3260,0.2515,"Po, par, man, single, med, Dum, former, ney, 27, controlled, prominent, Dust, ager, requested, Republican, vet, men, ott, Grac, episodes"
blocks.0.ff_or_moe,28,0.3931,0.2854,"Rob, jo, Ko, Super, igh, cre, Jar, Empire, Ill, ze, Leonard, Lew, bid, Fal, cho, W, Cro, Sm, Cru, moon"
blocks.0.ff_or_moe,29,0.3468,0.2598,"Be, anti, development, mid, Mass, Steve, come, movement, winning, mouth, concept, Bristol, rear, blind, onto, cond, thin, compound, shock, cold"
blocks.0.ff_or_moe,30,0.1664,0.2691,"an, a, ,, legal, fish, ron, Wild, friend, example, za, det, conf, sche, instance, erunner, fights, ;, several, ret, one"
blocks.0.ff_or_moe,31,0.2157,0.2932,"his, R, Mar, be, given, about, what, pass, 11, lines, sign, prevent, become, sour, turn, Creat, proceed, Revol, begin, routes"
blocks.0.ff_or_moe,32,0.2614,0.2772,"state, Lu, Del, Ly, la, before, Mill, Mos, Ali, some, Arch, each, p, Leon, Med, Cow, normal, solid, ordered, Nag"
blocks.0.ff_or_moe,33,0.1840,0.3035,"at, based, Sl, held, only, home, located, used, carries, situated, just, expon, owned, under, without, operated, Pro, inside, away, subject"
blocks.0.ff_or_moe,34,0.2040,0.2751,"first, established, also, action, reg, all, once, faced, adult, His, being, started, Oxford, Navy, lost, domestic, Cob, Il, SS, Cut"
blocks.0.ff_or_moe,35,0.2072,0.2979,"after, but, 9, three, despite, although, Sarah, You, earlier, spin, though, pulled, whose, before, Adams, number, Shortly, !, four, substitute"
blocks.0.ff_or_moe,36,0.3182,0.2609,"William, character, Cy, Black, Lin, Simon, r, Grand, staff, Ry, Gas, Gilbert, Bern, solo, Sign, Boston, entire, Ast, crime, including"
blocks.0.ff_or_moe,37,0.3745,0.3634,"25, 40, 24, Gar, 15, 19, Nar, 8, 26, 80, 21, 14, 75, 32, 22, 16, 27, Hill, 33, 50"
blocks.0.ff_or_moe,38,0.3717,0.2430,"because, Hol, Ma, Bon, Cast, mixed, ute, fer, intended, Orange, due, Work, continuing, casting, Clo, Commodore, pale, Tokyo, Nicolas, mostly"
blocks.0.ff_or_moe,39,0.3385,0.2679,"Sur, ich, Men, God, Sol, bank, Horn, course, Dol, Stanley, guns, War, fleet, Watch, em, Much, neutral, ask, unit, Julian"
blocks.0.ff_or_moe,40,0.2100,0.2661,"6, 3, 4, power, 5, San, 7, 1, 8, ir, ere, English, Kam, Chinese, double, cor, h, Atlantic, 2, Sun"
