layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.2298,0.4055,"o, real, in, as, on, at, of, a, ,, to, and, an, for, with, son, K, not, ., p, by"
blocks.0.ff_or_moe,1,0.3238,0.4540,"and, ,, to, in, of, as, with, ., that, from, for, by, (, but, at, "", on, The, after, into"
blocks.0.ff_or_moe,2,0.2991,0.4461,"., ;, and, ,, in, as, ""., of, to, ."", at, (, ', that, with, -, is, for, was, :"
blocks.0.ff_or_moe,3,0.2384,0.3960,"the, a, an, in, "", his, ,, that, one, this, and, two, over, first, to, other, at, ', as, their"
blocks.0.ff_or_moe,4,0.1462,0.3826,"still, about, widely, not, known, further, what, just, often, more, once, even, much, only, almost, very, now, usually, mainly, sometimes"
blocks.0.ff_or_moe,5,0.3613,0.4543,",, and, in, (, ., to, as, for, of, ;, with, on, at, that, ', —, -, by, or, """
blocks.0.ff_or_moe,6,0.2729,0.4317,"ers, and, as, in, of, er, ,, ., on, at, that, for, but, ;, over, (, or, after, from, with"
blocks.0.ff_or_moe,7,0.2153,0.4259,"A, S, H, E, D, T, s, I, B, C, re, not, L, then, K, F, V, P, O, R"
blocks.0.ff_or_moe,8,0.0558,0.3648,"home, campaign, War, along, war, first, for, and, respectively, years, after, but, to, so, following, campaigns, In, Campaign, in, by"
blocks.0.ff_or_moe,9,0.2852,0.4470,",, and, ;, with, for, but, as, to, -, s, –, —, that, in, ., or, over, at, :, of"
blocks.0.ff_or_moe,10,0.0924,0.4133,"s, d, ve, t, ll, re, m, ', and, with, f, n, while, they, D, c, As, H, ’, or"
blocks.0.ff_or_moe,11,0.0717,0.3964,""", ""..., "",, ""[, ', for, ""., song, “, ""', ., ,, ,"", part, :, (, in, time, war, The"
blocks.0.ff_or_moe,12,0.3125,0.4212,"the, and, in, at, with, on, as, that, to, ,, his, of, for, ., over, during, or, under, from, it"
blocks.0.ff_or_moe,13,0.3196,0.3113,"First, Second, Great, Western, Third, Prime, Major, Part, Eastern, South, Lieutenant, Fourth, Four, Red, Five, North, CE, Central, Northern, DS"
blocks.0.ff_or_moe,14,0.4967,0.2462,"tubes, near, nmi, elevation, upstream, traffic, north, amidships, percent, velocity, 180, nautical, 000, %,, ~, millimetre, northwest, southward, millimetres, south"
