word,context_id,context,layer,expert_ids,n_tokens,tokens,primary_coherence,topk_overlap,routing_flicker,model
bank,0,The bank of the river was covered with wildflowers.,0,170,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,1,100,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,2,166,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,3,246,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,0,170,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,1,100,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,2,166,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,3,246,1,bank,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,0,79,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,1,215,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,2,83,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,3,154,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,0,79,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,1,215,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,2,83,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,3,154,1,spring,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,0,128,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,1,229,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,2,58,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,3,117,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,0,63,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,1,229,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,2,175,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,3,219,1,bat,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,0,170,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,1,96,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,2,175,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,3,204,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,0,170,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,1,120,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,2,135,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,3,21,1,crane,0.0,0.0,0,SRA-B
