layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.3776,0.2476,"o, world, real, Grand, Gay, Bank, Central, degree, Lost, ole, Sit, perfect, Orange, tos, forest, Israel, father, slave, Ost, Walk"
blocks.0.ff_or_moe,1,0.3393,0.2670,"In, Bell, Ag, Andrew, Ang, Law, L, bo, Raj, Mau, theme, however, Bath, Rosen, Secretary, Made, ern, Real, associated, Plant"
blocks.0.ff_or_moe,2,0.1504,0.4172,"., ;, )., ""., ."", :, and, );, ),, ,, '., ), but, to, that, the, —, when, -, for"
blocks.0.ff_or_moe,3,0.1523,0.3884,"her, the, his, she, in, its, a, their, ,, from, ens, that, both, and, at, ., as, during, it, herself"
blocks.0.ff_or_moe,4,0.2454,0.2795,"still, play, Mag, land, Ken, lead, Al, single, term, market, shoot, issue, adapted, Post, just, show, classical, note, floor, singles"
blocks.0.ff_or_moe,5,0.0989,0.3138,"received, ism, receiving, —, ,, receive, garnered, ;, had, that, been, was, and, ists, were, of, with, under, ),, made"
blocks.0.ff_or_moe,6,0.0775,0.3117,"ers, er, low, finding, ening, unk, odon, and, high, ,, hail, ering, :, ;, at, but, of, ance, has, as"
blocks.0.ff_or_moe,7,0.2456,0.2714,"s, hy, ve, Cre, Poll, Lich, ll, t, rit, Wol, tun, d, Az, Poly, met, mers, min, Al, n, Pop"
blocks.0.ff_or_moe,8,0.2649,0.2758,"am, Robert, campaign, Van, Gold, along, Ir, film, Act, much, ', McC, years, Rat, Major, mort, Air, Friends, digital, Horse"
blocks.0.ff_or_moe,9,0.0765,0.3894,",, the, The, his, a, "",, that, —, was, He, such, ;, many, received, their, ..., An, and, is, ,"""
blocks.0.ff_or_moe,10,0.1428,0.3218,"s, t, d, ll, Sh, ve, n, f, g, ts, l, 70s, m, Brien, di, He, re, str, der, Metacritic"
blocks.0.ff_or_moe,11,0.0639,0.3730,""", ""..., ""[, "",, ', ""', as, “, only, of, ,, (, to, A, for, [, under, all, time, song"
blocks.0.ff_or_moe,12,0.1424,0.3723,"the, ., ,, and, The, that, to, in, ;, his, South, as, position, or, during, when, -, —, were, around"
blocks.0.ff_or_moe,13,0.3510,0.2572,"K, Rob, Thomas, across, With, Philip, head, Mass, natural, Bra, credited, Empire, Camp, Fair, Gun, Cool, Gir, Fat, Mut, calling"
blocks.0.ff_or_moe,14,0.1858,0.2788,"A, E, O, Se, non, D, Main, members, upper, aircraft, steel, ai, weather, 8, SS, Command, Park, ka, expansion, SR"
blocks.0.ff_or_moe,15,0.0952,0.4450,"his, himself, command, His, the, that, He, ,, her, he, The, their, ', and, ., —, was, ;, with, these"
blocks.0.ff_or_moe,16,0.3379,0.3358,""", ""[, ""..., Da, really, "",, ""', “, rel, Your, ,"", Lot, truly, ""., ""(, fun, "";, "":, ""), :"
blocks.0.ff_or_moe,17,0.2135,0.4452,"of, -, and, or, ., in, ,, that, /, (, –, for, Of, was, N, ', from, with, at, made"
blocks.0.ff_or_moe,18,0.1558,0.4142,"the, a, his, The, their, an, her, this, its, both, one, that, it, some, these, most, re, in, New, to"
blocks.0.ff_or_moe,19,0.3212,0.2958,"William, os, President, religious, last, Club, construction, Court, source, Despite, sexual, acquired, events, qu, permanent, purpose, Governor, reason, president, survival"
blocks.0.ff_or_moe,20,0.3709,0.2404,"ar, opened, round, club, private, football, Alfred, ps, table, Beach, ins, medium, battery, Near, ico, speech, sor, Park, bull, Abbey"
blocks.0.ff_or_moe,21,0.1450,0.4507,"a, an, another, the, one, two, part, his, n, some, it, The, its, something, A, at, three, her, their, several"
blocks.0.ff_or_moe,22,0.3146,0.2685,"during, based, elements, influence, call, figures, passed, ruled, known, works, needed, being, influences, growth, security, independently, listing, policy, interests, pressed"
blocks.0.ff_or_moe,23,0.3685,0.2732,"Bo, area, Don, Ban, started, Ali, sat, tem, spread, operation, ium, Mes, multiple, situation, ties, ana, link, Sep, Rear, granted"
blocks.0.ff_or_moe,24,0.4718,0.2665,"ro, Whit, Bet, Since, One, Joshua, List, Ast, Tom, System, Dennis, Geoff, There, Buch, Oper, Sierra, neo, Elliot, Letter, Local"
blocks.0.ff_or_moe,25,0.3945,0.0000,"9, 15, 4, 13, 7, 14, 1, 25, 10, 17, 11, 5, 28, 3, 2, 22, 6, 30, 90, 26"
blocks.0.ff_or_moe,26,0.2610,0.2491,"L, thought, race, State, arranged, second, noted, concept, music, did, Radio, cold, director, African, selection, select, season, Neil, lack, Canadian"
blocks.0.ff_or_moe,27,0.4094,0.2531,"Cl, En, Prince, Far, Little, While, Ant, dec, Like, shell, Dream, Who, uck, Still, fictional, tried, len, Dana, Grace, ild"
blocks.0.ff_or_moe,28,0.3183,0.2758,"lo, Do, oc, bre, con, har, pred, Albert, hom, Harold, Win, self, Rod, compared, national, army, orders, Cooper, ians, ome"
blocks.0.ff_or_moe,29,0.3378,0.2868,"Val, pre, ant, black, written, Ru, prop, val, app, comp, gy, io, TV, ila, ze, ong, Bak, bur, Winston, sal"
blocks.0.ff_or_moe,30,0.1467,0.3645,"to, Kis, as, Att, and, for, with, -, in, is, into, by, was, but, or, before, ,, sent, against, after"
blocks.0.ff_or_moe,31,0.2876,0.2841,"Ro, Ra, such, Nor, So, The, he, laid, Mah, stand, Roy, Blue, Special, Silver, Song, million, Dum, Tol, Matthew, iff"
blocks.0.ff_or_moe,32,0.1425,0.2805,"City, set, which, B, developed, b, general, where, en, role, located, cross, more, reported, Arthur, initially, sometimes, often, too, revealed"
blocks.0.ff_or_moe,33,0.2454,0.4255,"the, ., as, -, with, or, and, ,, his, to, was, in, their, that, of, h, by, a, at, while"
blocks.0.ff_or_moe,34,0.2153,0.2855,"by, American, Den, next, listed, As, voted, upgraded, Senate, outright, following, nationally, implicated, posthumously, Americans, first, The, sanctioned, He, That"
blocks.0.ff_or_moe,35,0.3410,0.3043,"ships, ship, port, fleet, base, ordered, b, station, camp, fort, kin, captured, Lat, appear, ster, vessels, vessel, Prime, shore, Pie"
blocks.0.ff_or_moe,36,0.4064,0.2634,"Ser, pole, ent, Patrick, magazine, ine, Jimmy, Steven, Play, audio, International, Lind, red, comb, Bond, Shad, aired, ops, Sing, Dallas"
blocks.0.ff_or_moe,37,0.2451,0.2744,"ry, Car, not, Ham, control, commercial, now, Duke, Dol, Tu, mission, more, ck, always, already, Il, very, York, newly, ino"
blocks.0.ff_or_moe,38,0.1199,0.4838,"his, the, he, her, himself, ,, ., their, His, The, and, He, is, was, of, :, that, ', R, —"
blocks.0.ff_or_moe,39,0.3668,0.2579,"used, gu, ick, ),, than, Field, oked, adopted, km, segment, miles, Due, toured, use, ), employed, lucky, );, AU, kilometers"
blocks.0.ff_or_moe,40,0.2017,0.4332,"a, ., ,, of, and, was, in, ;, The, the, were, with, had, that, A, to, for, part, only, —"
blocks.0.ff_or_moe,41,0.1122,0.4027,",, The, Land, the, ., that, and, He, a, his, such, ;, but, her, —, who, "", to, for, small"
blocks.0.ff_or_moe,42,0.2426,0.2840,"Ar, ter, n, stock, story, New, bow, wood, top, years, men, Young, Boy, mm, filled, ron, mountain, weeks, Ow, pilot"
blocks.0.ff_or_moe,43,0.3744,0.3201,"is, are, has, appears, may, does, contains, occurs, includes, features, cer, makes, animal, becomes, can, consists, represents, fal, comes, helps"
blocks.0.ff_or_moe,44,0.2995,0.2982,"Dr, character, media, form, title, year, com, letter, Golden, television, award, promotion, project, network, impact, planet, give, launch, Harris, size"
blocks.0.ff_or_moe,45,0.3450,0.2699,"system, Med, era, combined, ed, [, core, Jeff, try, ke, Rising, ph, mode, Pend, remained, DS, equal, reserve, Job, pri"
blocks.0.ff_or_moe,46,0.2307,0.3016,"led, close, team, which, star, ly, Ve, Morgan, My, Power, X, child, Latin, Dis, add, leading, champion, “, bore, Martin"
blocks.0.ff_or_moe,47,0.4139,0.2518,"poly, Soviet, Dev, ble, Fab, west, Light, Boston, Chinese, rock, vis, Wes, Mexican, ear, Deb, weapons, bringing, NC, Kenn, aul"
blocks.0.ff_or_moe,48,0.1843,0.3865,"ar, ,, a, the, his, and, is, to, that, all, The, ;, —, as, or, her, two, was, for, in"
blocks.0.ff_or_moe,49,0.2188,0.4338,",, and, ., ;, —, (, -, "",, :, ', that, ),, of, "", is, to, in, the, but, he"
blocks.0.ff_or_moe,50,0.2618,0.2554,"ay, most, since, served, hall, ade, view, Temple, depression, wall, member, force, our, born, incorporated, herself, remains, Williams, leave, until"
blocks.0.ff_or_moe,51,0.6294,0.2598,"exceed, Ped, suc, moved, eclip, Cas, Mini, Ji, Sic, Liqu, Buk, Mit, Associated, annel, mill, som, nig, Kaw, Cad, GP"
